"track","duration_min","duration_category"
"Cover Me In Sunshine",2,"Short (< 3 min)"
"TRUSTFALL",3,"Medium (3-5 min)"
"Who Knew",3,"Medium (3-5 min)"
"True Love (feat. Lily Allen)",3,"Medium (3-5 min)"
"Mockingbird",4,"Medium (3-5 min)"
"Without Me",4,"Medium (3-5 min)"
"The Real Slim Shady",4,"Medium (3-5 min)"
"Superman",5,"Long (> 5 min)"
"Till I Collapse",4,"Medium (3-5 min)"
"Stan",6,"Long (> 5 min)"
"Love The Way You Lie",4,"Medium (3-5 min)"
"Godzilla (feat. Juice WRLD)",3,"Medium (3-5 min)"
"Sing For The Moment",5,"Long (> 5 min)"
"Not Afraid",4,"Medium (3-5 min)"
"Happy - From ""Despicable Me 2""",3,"Medium (3-5 min)"
"Eastside (with Halsey & Khalid)",2,"Short (< 3 min)"
"Down In Atlanta",2,"Short (< 3 min)"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",3,"Medium (3-5 min)"
"Cash In Cash Out",3,"Medium (3-5 min)"
"Stay With Me (with Justin Timberlake, Halsey & Pharrell)",3,"Medium (3-5 min)"
"Hit Different",3,"Medium (3-5 min)"
"Rapp Snitch Knishes feat. Mr. Fantastik",2,"Short (< 3 min)"
"Neon Guts (feat. Pharrell Williams)",4,"Medium (3-5 min)"
"JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)",2,"Short (< 3 min)"
"Just A Cloud Away",2,"Short (< 3 min)"
"Frontin' (feat. Jay-Z) - Club Mix",3,"Medium (3-5 min)"
"lovely (with Khalid)",3,"Medium (3-5 min)"
"Numb",2,"Short (< 3 min)"
"Silence",3,"Medium (3-5 min)"
"Doomsday",4,"Medium (3-5 min)"
"Better",3,"Medium (3-5 min)"
"Location",3,"Medium (3-5 min)"
"8TEEN",3,"Medium (3-5 min)"
"Beautiful People (feat. Khalid)",3,"Medium (3-5 min)"
"Love Lies (with Normani)",3,"Medium (3-5 min)"
"Shakira: Bzrp Music Sessions, Vol. 53",3,"Medium (3-5 min)"
"Monotonía",2,"Short (< 3 min)"
"Te Felicito",2,"Short (< 3 min)"
"Hips Don't Lie (feat. Wyclef Jean)",3,"Medium (3-5 min)"
"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)",3,"Medium (3-5 min)"
"DON'T YOU WORRY",3,"Medium (3-5 min)"
"Guzarish (From ""Ghajini"")",5,"Long (> 5 min)"
"Dia de Enero",2,"Short (< 3 min)"
"Chantaje (feat. Maluma)",3,"Medium (3-5 min)"
"Inevitable",3,"Medium (3-5 min)"
"Antologia",4,"Medium (3-5 min)"
"my ex's best friend (with blackbear)",2,"Short (< 3 min)"
"I Think I'm OKAY (with YUNGBLUD & Travis Barker)",2,"Short (< 3 min)"
"Land of Confusion - 2007 Remaster",4,"Medium (3-5 min)"
"maybe (feat. Bring Me The Horizon)",2,"Short (< 3 min)"
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",3,"Medium (3-5 min)"
"forget me too (feat. Halsey)",2,"Short (< 3 min)"
"bloody valentine",3,"Medium (3-5 min)"
"Bad Things (with Camila Cabello)",3,"Medium (3-5 min)"
"make up sex (feat. blackbear)",2,"Short (< 3 min)"
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",2,"Short (< 3 min)"
"ay! (feat. Lil Wayne)",2,"Short (< 3 min)"
"X",2,"Short (< 3 min)"
"El Perdón (with Enrique Iglesias)",3,"Medium (3-5 min)"
"Bella y Sensual",3,"Medium (3-5 min)"
"Nicky Jam: Bzrp Music Sessions, Vol. 41",2,"Short (< 3 min)"
"Cuaderno",4,"Medium (3-5 min)"
"En La Cama (feat. Daddy Yankee)",2,"Short (< 3 min)"
"Si Te Preguntan...",3,"Medium (3-5 min)"
"Hasta el Amanecer",3,"Medium (3-5 min)"
"Color Esperanza 2020",3,"Medium (3-5 min)"
"Donde Estan las Gatas",2,"Short (< 3 min)"
"Here Comes The Sun - Remastered 2009",3,"Medium (3-5 min)"
"Let It Be - Remastered 2009",4,"Medium (3-5 min)"
"New Kid in Town - 2013 Remaster",5,"Long (> 5 min)"
"Come Together - Remastered 2009",4,"Medium (3-5 min)"
"Yesterday - Remastered 2009",2,"Short (< 3 min)"
"Twist And Shout - Remastered 2009",2,"Short (< 3 min)"
"Blackbird - Remastered 2009",2,"Short (< 3 min)"
"In My Life - Remastered 2009",2,"Short (< 3 min)"
"Hey Jude - Remastered 2015",7,"Long (> 5 min)"
"I Want To Hold Your Hand - Remastered 2015",2,"Short (< 3 min)"
"Something - Remastered 2009",3,"Medium (3-5 min)"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",4,"Medium (3-5 min)"
"Timber (feat. Ke$ha)",3,"Medium (3-5 min)"
"Time of Our Lives",3,"Medium (3-5 min)"
"Feel This Moment (feat. Christina Aguilera)",3,"Medium (3-5 min)"
"International Love (feat. Chris Brown)",3,"Medium (3-5 min)"
"Fireball (feat. John Ryan)",3,"Medium (3-5 min)"
"Nashe Si Chadh Gayi",3,"Medium (3-5 min)"
"We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte)",3,"Medium (3-5 min)"
"Hotel Room Service",3,"Medium (3-5 min)"
"Hey Baby (Drop It to the Floor) (feat. T-Pain)",3,"Medium (3-5 min)"
"HOT",2,"Short (< 3 min)"
"No Lie",3,"Medium (3-5 min)"
"Freak On a Leash",4,"Medium (3-5 min)"
"Temperature",3,"Medium (3-5 min)"
"Go Down Deh (feat. Shaggy and Sean Paul)",2,"Short (< 3 min)"
"Get Busy",3,"Medium (3-5 min)"
"She Doesn't Mind",3,"Medium (3-5 min)"
"Coming Undone",3,"Medium (3-5 min)"
"Falling Away from Me",4,"Medium (3-5 min)"
"Give It Up to Me",4,"Medium (3-5 min)"
"(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version",4,"Medium (3-5 min)"
"I'm Still in Love with You (feat. Sasha)",4,"Medium (3-5 min)"
"UP",2,"Short (< 3 min)"
"Contra La Pared",3,"Medium (3-5 min)"
"Yendo a la Casa de Damián",4,"Medium (3-5 min)"
"Can't Help Falling in Love",3,"Medium (3-5 min)"
"Blue Christmas",2,"Short (< 3 min)"
"Here Comes Santa Claus (Right Down Santa Claus Lane)",1,"Short (< 3 min)"
"Suspicious Minds",4,"Medium (3-5 min)"
"Burning Love",2,"Short (< 3 min)"
"Always On My Mind",3,"Medium (3-5 min)"
"In Too Deep - 2007 Remaster",5,"Long (> 5 min)"
"If I Can Dream",3,"Medium (3-5 min)"
"Jailhouse Rock",2,"Short (< 3 min)"
"In the Ghetto",2,"Short (< 3 min)"
"(You're The) Devil in Disguise",2,"Short (< 3 min)"
"Hit 'Em Up - Single Version",5,"Long (> 5 min)"
"Ambitionz Az A Ridah",4,"Medium (3-5 min)"
"California Love - Original Version",4,"Medium (3-5 min)"
"All Eyez On Me (ft. Big Syke)",5,"Long (> 5 min)"
"Do For Love",4,"Medium (3-5 min)"
"Changes",4,"Medium (3-5 min)"
"Jesus He Knows Me - 2007 Remaster",4,"Medium (3-5 min)"
"Dear Mama",4,"Medium (3-5 min)"
"Keep Ya Head Up",4,"Medium (3-5 min)"
"2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg)",4,"Medium (3-5 min)"
"Can't C Me",5,"Long (> 5 min)"
"Bad Decisions (with BTS & Snoop Dogg)",2,"Short (< 3 min)"
"Young, Wild & Free (feat. Bruno Mars)",3,"Medium (3-5 min)"
"Drop It Like It's Hot",4,"Medium (3-5 min)"
"That's My N**** (with Meek Mill, YG & Snoop Dogg)",3,"Medium (3-5 min)"
"From The D 2 The LBC (with Snoop Dogg)",3,"Medium (3-5 min)"
"Sweat - Remix",3,"Medium (3-5 min)"
"Beautiful",4,"Medium (3-5 min)"
"I Wanna Fuck You",2,"Short (< 3 min)"
"Qué Maldición",3,"Medium (3-5 min)"
"Riders On The Storm - Fredwreck Remix",6,"Long (> 5 min)"
"Love Me",4,"Medium (3-5 min)"
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4,"Medium (3-5 min)"
"Mirror",3,"Medium (3-5 min)"
"Forever",5,"Long (> 5 min)"
"6 Foot 7 Foot",4,"Medium (3-5 min)"
"Lollipop",4,"Medium (3-5 min)"
"Wish You Were Here (feat. Khalid)",2,"Short (< 3 min)"
"A Milli",3,"Medium (3-5 min)"
"Scared of the Dark (feat. XXXTENTACION)",3,"Medium (3-5 min)"
"ay! (feat. Lil Wayne)",2,"Short (< 3 min)"
"Right Above It",4,"Medium (3-5 min)"
"Snowman",2,"Short (< 3 min)"
"Unstoppable",3,"Medium (3-5 min)"
"Chandelier",3,"Medium (3-5 min)"
"Algo mejor que hacer",3,"Medium (3-5 min)"
"Dusk Till Dawn (feat. Sia) - Radio Edit",3,"Medium (3-5 min)"
"Cheap Thrills",3,"Medium (3-5 min)"
"Genius (feat. Sia, Diplo, and Labrinth)",3,"Medium (3-5 min)"
"Elastic Heart",4,"Medium (3-5 min)"
"Unstoppable - R3HAB Remix",2,"Short (< 3 min)"
"Got the Life",3,"Medium (3-5 min)"
"Twisted Transistor",3,"Medium (3-5 min)"
"Del Mar",3,"Medium (3-5 min)"
"Santa's Coming for Us",3,"Medium (3-5 min)"
"Dreams - 2004 Remaster",4,"Medium (3-5 min)"
"The Chain - 2004 Remaster",4,"Medium (3-5 min)"
"Everywhere - 2017 Remaster",3,"Medium (3-5 min)"
"Blind - Live at CBGB",4,"Medium (3-5 min)"
"Hold on My Heart - 2007 Remaster",4,"Medium (3-5 min)"
"Go Your Own Way - 2004 Remaster",3,"Medium (3-5 min)"
"Landslide",3,"Medium (3-5 min)"
"Don't Stop - 2004 Remaster",3,"Medium (3-5 min)"
