"track","duration_min","duration_category"
"Leaving, On a Jet Plane - ""Greatest Hits"" Version",4,"Medium (3-5 min)"
"Perhaps Love",1,"Short (< 3 min)"
"Captain Save a Hoe (feat. The Click, D-Shot, B-Legit & Suga T)",4,"Medium (3-5 min)"
"U and Dat (feat. T. Pain & Kandi Girl)",3,"Medium (3-5 min)"
"Big Subwoofer (feat. Snoop Dogg, Ice Cube, E-40 & Too $hort ) - Single Version",4,"Medium (3-5 min)"
"Tell Me When to Go (feat. Keak da Sneak)",3,"Medium (3-5 min)"
"Choices (Yup)",4,"Medium (3-5 min)"
"I Stand On That",4,"Medium (3-5 min)"
"My Shit Bang",4,"Medium (3-5 min)"
"Again",2,"Short (< 3 min)"
"B*tch",3,"Medium (3-5 min)"
"Function",4,"Medium (3-5 min)"
"Me Olvide De Vivir",4,"Medium (3-5 min)"
"Hey - Spanish",5,"Long (> 5 min)"
"De Niña a Mujer",3,"Medium (3-5 min)"
"Con la Misma Piedra",3,"Medium (3-5 min)"
"Se Que Volveras",4,"Medium (3-5 min)"
"Soy un Truhán, Soy un Señor",3,"Medium (3-5 min)"
"Por El Amor De Una Mujer",3,"Medium (3-5 min)"
"La Media Vuelta",3,"Medium (3-5 min)"
"Crazy",3,"Medium (3-5 min)"
"Puedes Llegar",4,"Medium (3-5 min)"
"Talento De Televisión",4,"Medium (3-5 min)"
"Idilio",5,"Long (> 5 min)"
"El Gran Varón",6,"Long (> 5 min)"
"El Día De Mi Suerte",5,"Long (> 5 min)"
"Pedro Navaja",7,"Long (> 5 min)"
"Gitana",6,"Long (> 5 min)"
"Juanito Alimaña",7,"Long (> 5 min)"
"La Murga",5,"Long (> 5 min)"
"This I Promise You",3,"Medium (3-5 min)"
"Ché Ché Colé",3,"Medium (3-5 min)"
"Todo Tiene Su Final",5,"Long (> 5 min)"
"Irresponsables",2,"Short (< 3 min)"
"El Loco",3,"Medium (3-5 min)"
"Putita",3,"Medium (3-5 min)"
"El Colmo",2,"Short (< 3 min)"
"Como Eran Las Cosas",4,"Medium (3-5 min)"
"Pijamas",3,"Medium (3-5 min)"
"Carismático",2,"Short (< 3 min)"
"Risa",3,"Medium (3-5 min)"
"Las Demás",2,"Short (< 3 min)"
"Yegua",2,"Short (< 3 min)"
"Afuera",4,"Medium (3-5 min)"
"No Dejes Que...",4,"Medium (3-5 min)"
"La Célula Que Explota",3,"Medium (3-5 min)"
"Viento",3,"Medium (3-5 min)"
"Aquí No Es Así",4,"Medium (3-5 min)"
"Mátenme Porque Me Muero",3,"Medium (3-5 min)"
"Father And Son - New Steve Mac",3,"Medium (3-5 min)"
"La Negra Tomasa - Bilongo - Versión Tropical",7,"Long (> 5 min)"
"Nubes",4,"Medium (3-5 min)"
"Ayer Me Dijo un Ave",3,"Medium (3-5 min)"
"Los Dioses Ocultos",4,"Medium (3-5 min)"
"Gotas De Lluvia",5,"Long (> 5 min)"
"Algo Que Se Quede",3,"Medium (3-5 min)"
"Sin Sentimientos",4,"Medium (3-5 min)"
"Una Aventura",5,"Long (> 5 min)"
"Nuestro Sueño",5,"Long (> 5 min)"
"Busca Por Dentro",5,"Long (> 5 min)"
"Cali Pachanguero",4,"Medium (3-5 min)"
"La Magia De Tus Besos",4,"Medium (3-5 min)"
"Se Pareció Tanto a Ti",5,"Long (> 5 min)"
"Eres",4,"Medium (3-5 min)"
"The Gambler",3,"Medium (3-5 min)"
"Islands in the Stream",4,"Medium (3-5 min)"
"We've Got Tonight",3,"Medium (3-5 min)"
"Coward Of The County",4,"Medium (3-5 min)"
"Lady",3,"Medium (3-5 min)"
"Through The Years - Single Version",4,"Medium (3-5 min)"
"She Believes In Me",4,"Medium (3-5 min)"
"Lucille",3,"Medium (3-5 min)"
"You Decorated My Life",3,"Medium (3-5 min)"
"Ruby Don't Take Your Love To Town",2,"Short (< 3 min)"
"El Ultimo Adiós - Varios Artistas Version",3,"Medium (3-5 min)"
"Morena mía",4,"Medium (3-5 min)"
"Si tú no vuelves",4,"Medium (3-5 min)"
"Amante Bandido",4,"Medium (3-5 min)"
"Ay Haiti!",5,"Long (> 5 min)"
"Aire soy (feat. Ximena Sariñana)",4,"Medium (3-5 min)"
"Te Amaré",3,"Medium (3-5 min)"
"Como un lobo (Dueto 2007)",3,"Medium (3-5 min)"
"Morenamía (Dueto 2007)",3,"Medium (3-5 min)"
"Amiga",4,"Medium (3-5 min)"
"La Cosa Mas Bella",4,"Medium (3-5 min)"
"Otra Como Tu",4,"Medium (3-5 min)"
"Cosas De La Vida",4,"Medium (3-5 min)"
"Più bella cosa",4,"Medium (3-5 min)"
"Una Emocion para Siempre",3,"Medium (3-5 min)"
"Por Ti Me Casare",4,"Medium (3-5 min)"
"Se bastasse una canzone",5,"Long (> 5 min)"
"Fuego en el Fuego",4,"Medium (3-5 min)"
"Un'emozione per sempre",3,"Medium (3-5 min)"
"La Media Vuelta",3,"Medium (3-5 min)"
"¿Cual Es Tu Plan?",4,"Medium (3-5 min)"
"FERXXO X ÑEJO",3,"Medium (3-5 min)"
"Y Si La Ves",3,"Medium (3-5 min)"
"Monumento - Remix",3,"Medium (3-5 min)"
"Escápate Conmigo - Remix",2,"Short (< 3 min)"
"Esta Cabron (Remix) [feat. Anuel Aa, Yomo, Pusho, Almighty, D.Ozi & Jamby ""El Favo""]",8,"Long (> 5 min)"
"Life Is A Rollercoaster - 2020 Version",3,"Medium (3-5 min)"
"Monumento",2,"Short (< 3 min)"
"Se Te Hizo Tarde",5,"Long (> 5 min)"
"Muy Feliz - Remix",3,"Medium (3-5 min)"
"Mi Estilo de Vida II",8,"Long (> 5 min)"
"Tú de Qué Vas",3,"Medium (3-5 min)"
"Si la Ves (feat. Sin Bandera)",4,"Medium (3-5 min)"
"The Way You Make Me Feel",3,"Medium (3-5 min)"
"Iris",4,"Medium (3-5 min)"
"Tan Sólo Tú (feat. Alejandra Guzmán) - Franco De Vita en Primera Fila",3,"Medium (3-5 min)"
"Un Buen Perdedor",4,"Medium (3-5 min)"
"Te Amo",3,"Medium (3-5 min)"
"Te Amo",3,"Medium (3-5 min)"
"Te Pienso Sin Querer (feat. Gloria Trevi) - Vuelve en Primera Fila - Live Version",4,"Medium (3-5 min)"
"Un Buen Perdedor",3,"Medium (3-5 min)"
"Louis",5,"Long (> 5 min)"
"No Basta",4,"Medium (3-5 min)"
"You're The One That I Want - Remastered 2022",2,"Short (< 3 min)"
"Hopelessly Devoted To You",3,"Medium (3-5 min)"
"Summer Nights - From “Grease”",3,"Medium (3-5 min)"
"Physical - Remastered 2021",3,"Medium (3-5 min)"
"We Go Together - From “Grease”",2,"Short (< 3 min)"
"Xanadu - Remastered 2022",3,"Medium (3-5 min)"
"Baby It's Cold Outside",3,"Medium (3-5 min)"
"I Love You, I Honestly Love You",3,"Medium (3-5 min)"
"Twist Of Fate",3,"Medium (3-5 min)"
"Have You Never Been Mellow",3,"Medium (3-5 min)"
"Merry Christmas Darling - Remix",3,"Medium (3-5 min)"
"Top Of The World",2,"Short (< 3 min)"
"Yesterday Once More",3,"Medium (3-5 min)"
"Sleigh Ride",2,"Short (< 3 min)"
"(They Long To Be) Close To You",4,"Medium (3-5 min)"
"Silent Night",3,"Medium (3-5 min)"
"I Won't Last A Day Without You",3,"Medium (3-5 min)"
"Please Mr. Postman",2,"Short (< 3 min)"
"Rainy Days And Mondays",3,"Medium (3-5 min)"
"We've Only Just Begun",3,"Medium (3-5 min)"
"Te He Prometido",3,"Medium (3-5 min)"
"Doctor My Eyes",3,"Medium (3-5 min)"
"Cómo Te Extraño Mi Amor",2,"Short (< 3 min)"
"Esa Pared (feat. Vicente Fernández)",2,"Short (< 3 min)"
"Mary Es Mi Amor",3,"Medium (3-5 min)"
"Pídeme la Luna",3,"Medium (3-5 min)"
"Qué Tiene la Niña",2,"Short (< 3 min)"
"Tú Llegaste, Cuando Menos Te Esperaba",3,"Medium (3-5 min)"
"Yo Sé Que No Es Feliz (En Vivo) (feat. Matisse)",3,"Medium (3-5 min)"
"Cómo Te Extraño Mi Amor (En Vivo) (feat. Rubén Albarrán)",3,"Medium (3-5 min)"
"Esa Pared",3,"Medium (3-5 min)"
"Life We Live (feat. Namond Lumpkin & Edgar Fletcher)",4,"Medium (3-5 min)"
"Take Da Charge",3,"Medium (3-5 min)"
"Chickenhead (feat. Three 6 Mafia & La Chat)",4,"Medium (3-5 min)"
"North Memphis",1,"Short (< 3 min)"
"RIP Young (feat. Project Pat & Juicy J) - Remix",3,"Medium (3-5 min)"
"Cheese and Dope",3,"Medium (3-5 min)"
"Out There",4,"Medium (3-5 min)"
"Lane Switcha (feat. A$AP Rocky, Juicy J & Project Pat)",2,"Short (< 3 min)"
"If You Ain't From My Hood (feat. Juicy J & DJ Paul)",4,"Medium (3-5 min)"
"CheezNDope (feat. Young Dolph & Key Glock)",2,"Short (< 3 min)"
"Always on My Mind - with The Royal Philharmonic Orchestra",3,"Medium (3-5 min)"
"Love Me Tender - with The Royal Philharmonic Orchestra",3,"Medium (3-5 min)"
"Can't Help Falling In Love - with The Royal Philharmonic Orchestra",3,"Medium (3-5 min)"
"Rêverie, CD 76 (Arr. Cullen for Cello and Orchestra)",4,"Medium (3-5 min)"
"Tree of Life Suite: Oceano",2,"Short (< 3 min)"
"Running on Empty",4,"Medium (3-5 min)"
"Stay - Remastered",3,"Medium (3-5 min)"
"irreplaceable",4,"Medium (3-5 min)"
"Burning Love - with The Royal Philharmonic Orchestra",3,"Medium (3-5 min)"
"Beauty and the Beast - From ""Beauty and the Beast""",2,"Short (< 3 min)"
"The Nutcracker: Waltz Of The Flowers",7,"Long (> 5 min)"
"I See The Light - From ""Tangled""",3,"Medium (3-5 min)"
"Glamorous",4,"Medium (3-5 min)"
"Big Girls Don't Cry (Personal)",4,"Medium (3-5 min)"
"Fergalicious",4,"Medium (3-5 min)"
"L.A.LOVE (la la) [feat. YG]",3,"Medium (3-5 min)"
"London Bridge",4,"Medium (3-5 min)"
"Clumsy",4,"Medium (3-5 min)"
"A Little Party Never Killed Nobody (All We Got)",4,"Medium (3-5 min)"
"M.I.L.F. $",2,"Short (< 3 min)"
"London Bridge",3,"Medium (3-5 min)"
"Love Song to the Earth",3,"Medium (3-5 min)"
"Always On Time",4,"Medium (3-5 min)"
"Wonderful",4,"Medium (3-5 min)"
"Livin' It Up",4,"Medium (3-5 min)"
"Put It On Me",4,"Medium (3-5 min)"
"Mesmerize",4,"Medium (3-5 min)"
"Clap Back",4,"Medium (3-5 min)"
"Down A** B**ch",5,"Long (> 5 min)"
"New York",4,"Medium (3-5 min)"
"Furious",4,"Medium (3-5 min)"
"Between Me & You",4,"Medium (3-5 min)"
"Nosso Amor Quer Paz - Ao Vivo",2,"Short (< 3 min)"
"Graveto - Ao Vivo",2,"Short (< 3 min)"
"Final De Tarde",3,"Medium (3-5 min)"
"Camarão Que Dorme a Onda Leva",2,"Short (< 3 min)"
"Até Que Durou - Ao Vivo",5,"Long (> 5 min)"
"Lembrança - Ao Vivo",3,"Medium (3-5 min)"
"Sinais de fogo - Ao Vivo",3,"Medium (3-5 min)"
"Melhor Eu Ir",4,"Medium (3-5 min)"
"Supera - Ao Vivo",3,"Medium (3-5 min)"
"Vou Festejar",3,"Medium (3-5 min)"
"El Ultimo Adiós - Varios Artistas Version",3,"Medium (3-5 min)"
"Conteo Regresivo - Salsa Version",4,"Medium (3-5 min)"
"La Agarro Bajando",4,"Medium (3-5 min)"
"Que Alguien Me Diga",4,"Medium (3-5 min)"
"Conciencia",5,"Long (> 5 min)"
"Un Montón de Estrellas",4,"Medium (3-5 min)"
"Sombra Loca",4,"Medium (3-5 min)"
"Que Manera De Quererte",4,"Medium (3-5 min)"
"Cartas Sobre La Mesa",3,"Medium (3-5 min)"
"Bailando A Tu Son",4,"Medium (3-5 min)"
"Slow Jamz",5,"Long (> 5 min)"
"The City's Yours",3,"Medium (3-5 min)"
"Blame It",4,"Medium (3-5 min)"
"Hot Wings (I Wanna Party)",2,"Short (< 3 min)"
"Fly Love",2,"Short (< 3 min)"
"Dearly Beloved (feat. Jamie Foxx)",1,"Short (< 3 min)"
"Unpredictable (feat. Ludacris) - Main",3,"Medium (3-5 min)"
"Fall For Your Type (feat. Drake)",4,"Medium (3-5 min)"
"Real In Rio",3,"Medium (3-5 min)"
"DJ Play A Love Song (feat. Twista)",4,"Medium (3-5 min)"
"El Ultimo Adiós - Varios Artistas Version",3,"Medium (3-5 min)"
"Tan enamorados",4,"Medium (3-5 min)"
"Bésame",3,"Medium (3-5 min)"
"Me va a extrañar (aka Unchain My Heart)",4,"Medium (3-5 min)"
"Aunque Ahora Estés Con El",3,"Medium (3-5 min)"
"Me Va A Extranar",4,"Medium (3-5 min)"
"Te Adoraré",3,"Medium (3-5 min)"
"Somebody's Baby",4,"Medium (3-5 min)"
"Déjame llorar",5,"Long (> 5 min)"
"Tan Enamorados",4,"Medium (3-5 min)"
"La Gloria de Dios (feat. Evaluna Montaner)",6,"Long (> 5 min)"
"One, Two Step (feat. Missy Elliott)",3,"Medium (3-5 min)"
"Goodies (feat. Petey Pablo)",3,"Medium (3-5 min)"
"Like a Boy",3,"Medium (3-5 min)"
"Body Party",3,"Medium (3-5 min)"
"Promise",4,"Medium (3-5 min)"
"Level Up",3,"Medium (3-5 min)"
"Oh (feat. Ludacris)",4,"Medium (3-5 min)"
"Can't Leave 'Em Alone (feat. 50 Cent)",4,"Medium (3-5 min)"
"Better Thangs (with Summer Walker)",3,"Medium (3-5 min)"
"Get Up (feat. Chamillionaire)",4,"Medium (3-5 min)"
"Still Strugglin'",2,"Short (< 3 min)"
"Ice Cream (feat. Ghostface Killah, Method Man & Cappadonna)",4,"Medium (3-5 min)"
"Feel No Pain (feat. Anderson .Paak & Raekwon)",3,"Medium (3-5 min)"
"Guillotine (Swordz) (feat. Ghostface Killah, Inspectah Deck & GZA (Genius))",4,"Medium (3-5 min)"
"Iron Maiden",4,"Medium (3-5 min)"
"Incarcerated Scarfaces",4,"Medium (3-5 min)"
"Oh Lord",2,"Short (< 3 min)"
"The Morning",4,"Medium (3-5 min)"
"Criminology (feat. Ghostface Killah)",3,"Medium (3-5 min)"
"Verbal Intercourse (feat. Ghostface Killah & Nas)",3,"Medium (3-5 min)"
"Go Where You Wanna Go",2,"Short (< 3 min)"
"Gangsta's Paradise (L.V. Version)",4,"Medium (3-5 min)"
"Throw Your Hands Up - Treach Version",3,"Medium (3-5 min)"
"The Wrong Come Up",3,"Medium (3-5 min)"
"Crazy Little G's - Part 1",2,"Short (< 3 min)"
"Hey Love",3,"Medium (3-5 min)"
"Gangsta's Boogie - Barr 9 Version",4,"Medium (3-5 min)"
"Invisible Touch - 2007 Remaster",3,"Medium (3-5 min)"
"I Am L.V.",4,"Medium (3-5 min)"
"Fire From the Gun",3,"Medium (3-5 min)"
"Gangsta's Boogie - Prode'je Version",4,"Medium (3-5 min)"
"The 'G' Within",4,"Medium (3-5 min)"
"Life is a Highway",4,"Medium (3-5 min)"
"Bless The Broken Road",3,"Medium (3-5 min)"
"What Hurts The Most",3,"Medium (3-5 min)"
"My Wish",4,"Medium (3-5 min)"
"I Like The Sound Of That",3,"Medium (3-5 min)"
"Summer Nights",4,"Medium (3-5 min)"
"Fast Cars And Freedom",4,"Medium (3-5 min)"
"I Won't Let Go",3,"Medium (3-5 min)"
"Until Grace",3,"Medium (3-5 min)"
"Back To Life",3,"Medium (3-5 min)"
"Vete Ya",2,"Short (< 3 min)"
"Te Quiero Así",2,"Short (< 3 min)"
"A Mis Enemigos",3,"Medium (3-5 min)"
"Vencedor",3,"Medium (3-5 min)"
"Volvere A Amar",3,"Medium (3-5 min)"
"Ebrio De Amor",2,"Short (< 3 min)"
"La Más Deseada",2,"Short (< 3 min)"
"Lobo Domesticado",2,"Short (< 3 min)"
"Soy Así",3,"Medium (3-5 min)"
"El Pavido Navido - En Vivo Desde Delfos, Guadalajara/2002",3,"Medium (3-5 min)"
"Chura Liya Hai Tumne Jo Dil Ko (From ""Yaadon Ki Baaraat"")",4,"Medium (3-5 min)"
"Kitaben Bahut Si (From ""Baazigar"")",6,"Long (> 5 min)"
"Janu Meri Jaan - Shaan / Soundtrack Version",7,"Long (> 5 min)"
"Abhi Na Jao Chhod Kar",4,"Medium (3-5 min)"
"Ajnabi Mujhko Itna Bata",6,"Long (> 5 min)"
"Radha Kaise Na Jale",5,"Long (> 5 min)"
"O Haseena Zulfonwale Jane Jahan (From ""Teesri Manzil"")",6,"Long (> 5 min)"
"Le Gayi",5,"Long (> 5 min)"
"Chehra Kya Dekhte Ho (From ""Salaami"")",6,"Long (> 5 min)"
"Zara Sa Jhoom Loon Main",5,"Long (> 5 min)"
"Triste Recuerdo",3,"Medium (3-5 min)"
"Bandido De Amores",2,"Short (< 3 min)"
"El Hijo Desobediente",3,"Medium (3-5 min)"
"Un Puño De Tierra",3,"Medium (3-5 min)"
"Nadie Es Eterno",2,"Short (< 3 min)"
"Lamberto Quintero",3,"Medium (3-5 min)"
"Que Me Entierren Con La Banda",3,"Medium (3-5 min)"
"Busca Otro Amor",3,"Medium (3-5 min)"
"De Mañana En Ocho Días",2,"Short (< 3 min)"
"Gabino Barrera",2,"Short (< 3 min)"
"No Hay Novedad",3,"Medium (3-5 min)"
"Los Dos Amigos",2,"Short (< 3 min)"
"El Palomito",3,"Medium (3-5 min)"
"Una Pagina Mas",2,"Short (< 3 min)"
"Las Tres Tumbas",3,"Medium (3-5 min)"
"El Asesino",2,"Short (< 3 min)"
"Una Lagrima y Un Recuerdo",2,"Short (< 3 min)"
"Prenda Querida",3,"Medium (3-5 min)"
"Pistoleros Famosos",2,"Short (< 3 min)"
"Cruzando el Puente",2,"Short (< 3 min)"
"All Caps",2,"Short (< 3 min)"
"Meat Grinder",2,"Short (< 3 min)"
"Fancy Clown",1,"Short (< 3 min)"
"Accordion",1,"Short (< 3 min)"
"Raid",2,"Short (< 3 min)"
"Figaro",2,"Short (< 3 min)"
"Curls",1,"Short (< 3 min)"
"Bistro",1,"Short (< 3 min)"
"Crime Pays",3,"Medium (3-5 min)"
"America's Most Blunted",3,"Medium (3-5 min)"
"Nieves De Enero",3,"Medium (3-5 min)"
"Alma Enamorada",2,"Short (< 3 min)"
"El Crimen De Culiacán",3,"Medium (3-5 min)"
"Los Chismes",2,"Short (< 3 min)"
"Armando Aguirre",3,"Medium (3-5 min)"
"Baraja de Oro",3,"Medium (3-5 min)"
"Prenda Del Alma",3,"Medium (3-5 min)"
"Mario Peralta",3,"Medium (3-5 min)"
"Florita Del Alma",2,"Short (< 3 min)"
"El Navegante",3,"Medium (3-5 min)"
"Tu Traición",3,"Medium (3-5 min)"
"Amor Prohibido",3,"Medium (3-5 min)"
"Quizás Si, Quizás No",3,"Medium (3-5 min)"
"Te Esperaré",3,"Medium (3-5 min)"
"La Chica Del Este",4,"Medium (3-5 min)"
"Vas A Sufrir",3,"Medium (3-5 min)"
"La Última Canción",4,"Medium (3-5 min)"
"Te Vas Con El - Poema",3,"Medium (3-5 min)"
"Pero Tú No Estás",3,"Medium (3-5 min)"
"Por Qué Me Enamoré",3,"Medium (3-5 min)"
"A Mí, ¿Qué Me Quedó?",2,"Short (< 3 min)"
"Respeta Mi Dolor",2,"Short (< 3 min)"
"Playa Sola",2,"Short (< 3 min)"
"Laurita Garza",3,"Medium (3-5 min)"
"Aguanta Corazón",2,"Short (< 3 min)"
"Eslabón Por Eslabón",3,"Medium (3-5 min)"
"Total Ya Se Fue",3,"Medium (3-5 min)"
"Clave 7",3,"Medium (3-5 min)"
"Ya No Te Amo",3,"Medium (3-5 min)"
"Mi Caballo Pobre",2,"Short (< 3 min)"
"Kaadhal kaditham (From ""Jodi"")",4,"Medium (3-5 min)"
"Aasai Athigam",4,"Medium (3-5 min)"
"Sundari",7,"Long (> 5 min)"
"Ooru Sanam Thoongidichu",4,"Medium (3-5 min)"
"Kodiyile Malliyapoo",4,"Medium (3-5 min)"
"Yaar Bina Chain Kanha Ray",4,"Medium (3-5 min)"
"Chinna Chinna Vanna Kuyil",4,"Medium (3-5 min)"
"Vaa Vennila Unnaithane",4,"Medium (3-5 min)"
"Malare",5,"Long (> 5 min)"
"Putham Puthu Kaalai",4,"Medium (3-5 min)"
"Raja Raja Chozhan",4,"Medium (3-5 min)"
"Mizhiyariyaathe - Version, 1",5,"Long (> 5 min)"
"Kanne Kalaimaane",4,"Medium (3-5 min)"
"Junile Nilamazhayil",4,"Medium (3-5 min)"
"Aaro Nee Aaro - From ""Urumi""",6,"Long (> 5 min)"
"Ninakkende",5,"Long (> 5 min)"
"Aarariraro(From ""Raam"")",4,"Medium (3-5 min)"
"Kattu Kuyilu",5,"Long (> 5 min)"
"Unnai Thaney Thanjam (From 'Nallavanukku Nallavan')",4,"Medium (3-5 min)"
"En Iniya Pon Nilave Pon",4,"Medium (3-5 min)"
"Bol Na Halke Halke",5,"Long (> 5 min)"
"Kal Ho Naa Ho",5,"Long (> 5 min)"
"Mitwa",6,"Long (> 5 min)"
"Tere Naina",4,"Medium (3-5 min)"
"Mera Yaar",5,"Long (> 5 min)"
"Sajdaa",6,"Long (> 5 min)"
"Maahi Ve",6,"Long (> 5 min)"
"Zinda",3,"Medium (3-5 min)"
"It's the Time to Disco",5,"Long (> 5 min)"
"Ishq Di Baajiyaan",4,"Medium (3-5 min)"
"California Dreamin' - Single Version",2,"Short (< 3 min)"
"Dream A Little Dream Of Me",3,"Medium (3-5 min)"
"Dedicated To The One I Love",2,"Short (< 3 min)"
"Monday, Monday - Single Version",3,"Medium (3-5 min)"
"Straight Shooter",2,"Short (< 3 min)"
"I Can't Dance - 2007 Remaster",3,"Medium (3-5 min)"
"Follow You Follow Me - 2007 Remaster",3,"Medium (3-5 min)"
"When the Shit Goes Down",3,"Medium (3-5 min)"
"Crossroads",2,"Short (< 3 min)"
"I Wanna Get High",2,"Short (< 3 min)"
"Lowrider - Edited LP Version",4,"Medium (3-5 min)"
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",4,"Medium (3-5 min)"
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA)",4,"Medium (3-5 min)"
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)",3,"Medium (3-5 min)"
"Triumph (feat. Ol' Dirty Bastard, Inspectah Deck, Method Man, Cappadonna, U-God, RZA, GZA, Masta Killa, Ghostface Killah & Raekwon)",5,"Long (> 5 min)"
"Bring Da Ruckus (feat. RZA, Ghostface Killah, Raekwon & Inspectah Deck)",4,"Medium (3-5 min)"
"Preservation",2,"Short (< 3 min)"
"Da Mystery of Chessboxin' (feat. Method Man, U-God, Inspectah Deck, Raekwon, Ol' Dirty Bastard, Ghostface Killah & Masta Killa)",4,"Medium (3-5 min)"
"Method Man (feat. Method Man, Raekwon, GZA, RZA & Ghostface Killah)",5,"Long (> 5 min)"
"Shame On a Nigga (feat. Raekwon, Ol' Dirty Bastard & Method Man)",2,"Short (< 3 min)"
"Gravel Pit (feat. RZA, Method Man, Ghostface Killah, Raekwon & U-God)",4,"Medium (3-5 min)"
"Baba O'Riley",5,"Long (> 5 min)"
"Behind Blue Eyes",3,"Medium (3-5 min)"
"Pinball Wizard",3,"Medium (3-5 min)"
"Won't Get Fooled Again - Original Album Version",8,"Long (> 5 min)"
"My Generation - Stereo Version",3,"Medium (3-5 min)"
"Who Are You",6,"Long (> 5 min)"
"The Seeker - Edit",3,"Medium (3-5 min)"
"Eminence Front",5,"Long (> 5 min)"
"Squeeze Box",2,"Short (< 3 min)"
"I Can't Explain - Stereo Version",2,"Short (< 3 min)"
"Eres",4,"Medium (3-5 min)"
"Como te extraño mi amor",3,"Medium (3-5 min)"
"Las flores",2,"Short (< 3 min)"
"Quiero Ver",3,"Medium (3-5 min)"
"La ingrata",3,"Medium (3-5 min)"
"El baile y el salón",5,"Long (> 5 min)"
"Aprovéchate",4,"Medium (3-5 min)"
"Esa noche",3,"Medium (3-5 min)"
"Las batallas",3,"Medium (3-5 min)"
"Chilanga banda",3,"Medium (3-5 min)"
"Drive",3,"Medium (3-5 min)"
"Wish You Were Here",3,"Medium (3-5 min)"
"Pardon Me",3,"Medium (3-5 min)"
"Dig",4,"Medium (3-5 min)"
"These Days",4,"Medium (3-5 min)"
"Stellar",3,"Medium (3-5 min)"
"Anna Molly",3,"Medium (3-5 min)"
"Are You In?",4,"Medium (3-5 min)"
"Love Hurts",3,"Medium (3-5 min)"
"The Pretender",5,"Long (> 5 min)"
"The Load-Out - Remastered",5,"Long (> 5 min)"
"Nice to Know You",4,"Medium (3-5 min)"
"Megalomaniac",4,"Medium (3-5 min)"
"In My Mind",3,"Medium (3-5 min)"
"L'Amour Toujours",4,"Medium (3-5 min)"
"Will The Circle Be Unbroken - Live",8,"Long (> 5 min)"
"Bla Bla Bla",4,"Medium (3-5 min)"
"The Riddle",4,"Medium (3-5 min)"
"Hollywood",3,"Medium (3-5 min)"
"La Passion",7,"Long (> 5 min)"
"L'amour Toujours",6,"Long (> 5 min)"
"Late for the Sky - Remastered",5,"Long (> 5 min)"
"Another Way",6,"Long (> 5 min)"
"You Spin Me Round (Like A Record)",4,"Medium (3-5 min)"
"La Passion - Radio Cut",3,"Medium (3-5 min)"
"Sweet Dreams (Are Made of This) - Remastered",3,"Medium (3-5 min)"
"Take It Easy",3,"Medium (3-5 min)"
"Milkshake - Radio Mix",3,"Medium (3-5 min)"
"Here Comes the Rain Again - Remastered Version",4,"Medium (3-5 min)"
"Thorn in My Side - Remastered",4,"Medium (3-5 min)"
"Sweet Dreams (Are Made of This)",4,"Medium (3-5 min)"
"There Must Be an Angel (Playing With My Heart)",4,"Medium (3-5 min)"
"Miracle of Love",4,"Medium (3-5 min)"
"Trick Me - Club Mix",3,"Medium (3-5 min)"
"Deal With It (feat. Kelis)",3,"Medium (3-5 min)"
"Sisters Are Doin' It for Themselves - Remastered Version",5,"Long (> 5 min)"
"When Tomorrow Comes - Remastered Version",4,"Medium (3-5 min)"
"Love Is a Stranger - Remastered Version",3,"Medium (3-5 min)"
"I Saved the World Today - Remastered",4,"Medium (3-5 min)"
"Fiesta Pagana",4,"Medium (3-5 min)"
"Molinos De Viento",4,"Medium (3-5 min)"
"Haste Que El Cuerpo Aguante",4,"Medium (3-5 min)"
"La Costa Del Silencio",4,"Medium (3-5 min)"
"La danza del fuego",5,"Long (> 5 min)"
"Hoy toca ser feliz",4,"Medium (3-5 min)"
"El libro de las sombras",5,"Long (> 5 min)"
"La posada de los muertos",4,"Medium (3-5 min)"
"El Atrapasuenos",4,"Medium (3-5 min)"
"Vuela alto",4,"Medium (3-5 min)"
"Chasing Cars",4,"Medium (3-5 min)"
"Run",5,"Long (> 5 min)"
"Open Your Eyes",5,"Long (> 5 min)"
"Just Say Yes",4,"Medium (3-5 min)"
"Called Out In The Dark",4,"Medium (3-5 min)"
"Shut Your Eyes",3,"Medium (3-5 min)"
"Chocolate",3,"Medium (3-5 min)"
"Crack The Shutters",3,"Medium (3-5 min)"
"Set The Fire To The Third Bar",3,"Medium (3-5 min)"
"You Could Be Happy",3,"Medium (3-5 min)"
"Run Rudolph Run",2,"Short (< 3 min)"
"Johnny B. Goode",2,"Short (< 3 min)"
"You Never Can Tell",2,"Short (< 3 min)"
"No Particular Place To Go",2,"Short (< 3 min)"
"Roll Over Beethoven",2,"Short (< 3 min)"
"Route 66",2,"Short (< 3 min)"
"Maybellene",2,"Short (< 3 min)"
"Let It Rock - Single Version",1,"Short (< 3 min)"
"Rock And Roll Music",2,"Short (< 3 min)"
"My Mustang Ford",2,"Short (< 3 min)"
"Feeling Good",2,"Short (< 3 min)"
