"track","speechiness","url_youtube"
"81 - Geheimnis im Spukhotel - Teil 08","0.929","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"Kapitel 1.1 - Sindbad der Seefahrer","0.929",NULL
"Kapitel 3.3 & Kapitel 4.1 - Die kleine Hexe - Das Hörspiel","0.926",NULL
"152 - und das Geheimnis der Kelly Brüder - Teil 07","0.926","https://www.youtube.com/watch?v=yB7OzAm5M08"
"225 - Tanz mit der Giftschlange - Teil 01","0.926","https://www.youtube.com/watch?v=DqQdUtMOpcA"
"Drachenzähmen leicht gemacht 3 - Teil 3","0.925","https://www.youtube.com/watch?v=KDPIdtzAxZo"
"Kapitel 3.3 - Sindbad der Seefahrer","0.923","https://www.youtube.com/watch?v=PlbsBUm1qOQ"
"225 - Tanz mit der Giftschlange - Teil 02","0.923","https://www.youtube.com/watch?v=k-XfcGXbHOA"
"Kapitel 13: Der Hexenbesenausflug (Folge 146)","0.922",NULL
"Teil 12 - Fall 53: Die sieben Zinnsoldaten","0.922","https://www.youtube.com/watch?v=ZT0GfxqmgPQ"
"Kapitel 05: Das große Gewitter (Folge 153)","0.922","https://www.youtube.com/watch?v=hHunKUC07mM"
"152 - und das Geheimnis der Kelly Brüder - Teil 11","0.916","https://www.youtube.com/watch?v=yB7OzAm5M08"
"Kapitel 5.2 & Kapitel 6.1 - Die kleine Hexe - Das Hörspiel","0.915","https://www.youtube.com/watch?v=z04b-pMl864"
"Kapitel 2.5 & Kapitel 3.1 - Der Kaiser von Dallas","0.914","https://www.youtube.com/watch?v=uLD0NzzjzZo"
"96 - Tausendundein Tor! - Teil 02","0.912","https://www.youtube.com/watch?v=GCQrR48LprM"
"Kapitel 2.3 - Der Kaiser von Dallas","0.909","https://www.youtube.com/watch?v=5rD2I2TUMMc"
"Teil 5 - Das Geheimnis der Geisterinsel","0.909","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"152 - und das Geheimnis der Kelly Brüder - Teil 04","0.909","https://www.youtube.com/watch?v=yB7OzAm5M08"
"Teil 8 - Fall 53: Die sieben Zinnsoldaten","0.908","https://www.youtube.com/watch?v=gCgF7n0i1x8"
"225 - Tanz mit der Giftschlange - Teil 05","0.907","https://www.youtube.com/watch?v=im5Nyz5JPbg"
"225 - Tanz mit der Giftschlange - Teil 04","0.906","https://www.youtube.com/watch?v=im5Nyz5JPbg"
"Kapitel 1.4 & Kapitel 2.1 - Der Kaiser von Dallas","0.905","https://www.youtube.com/watch?v=aCiP3504kxk"
"Drachenzähmen leicht gemacht 3 - Teil 1","0.902","https://www.youtube.com/watch?v=v5LIu9fJYf4"
"Kapitel 13: Das große Gewitter (Folge 153)","0.9","https://www.youtube.com/watch?v=hHunKUC07mM"
"Teil 1 - Das Geheimnis der Geisterinsel","0.899","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"81 - Geheimnis im Spukhotel - Teil 07","0.897","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"225 - Tanz mit der Giftschlange - Teil 07","0.896","https://www.youtube.com/watch?v=aINjSeYtFVA"
"Kapitel 2.4 - Der Kaiser von Dallas","0.896","https://www.youtube.com/watch?v=vE-KJJoy7WI"
"Kapitel 3.4 & Kapitel 4.1 - Sindbad der Seefahrer","0.895","https://www.youtube.com/watch?v=24WzXmYFGD8"
"That's How It Is - Skit","0.891","https://www.youtube.com/watch?v=uEk7a1kufwc"
"152 - und das Geheimnis der Kelly Brüder - Teil 12","0.89","https://www.youtube.com/watch?v=yB7OzAm5M08"
"Kapitel 1 & Kapitel 2.1 - Die kleine Hexe - Das Hörspiel","0.889","https://www.youtube.com/watch?v=OL4E373EqYU"
"81 - Geheimnis im Spukhotel - Teil 02","0.888","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"TikTok","0.885","https://www.youtube.com/watch?v=whsLEiYlcOI"
"96 - Tausendundein Tor! - Teil 07","0.882","https://www.youtube.com/watch?v=GCQrR48LprM"
"152 - und das Geheimnis der Kelly Brüder - Teil 06","0.88","https://www.youtube.com/watch?v=mExw01TFo64"
"96 - Tausendundein Tor! - Teil 03","0.875","https://www.youtube.com/watch?v=GCQrR48LprM"
"225 - Tanz mit der Giftschlange - Teil 06","0.873","https://www.youtube.com/watch?v=aINjSeYtFVA"
"Kapitel 1.1 - Der Kaiser von Dallas","0.87","https://www.youtube.com/watch?v=j_ZTIjgbf8w"
"Kapitel 1.3 - Sindbad der Seefahrer","0.869","https://www.youtube.com/watch?v=e22Fl6a8T5I"
"Kapitel 1.2 - Sindbad der Seefahrer","0.866","https://www.youtube.com/watch?v=BOKrHH8Jef4"
"Teil 3 - Das Geheimnis der Geisterinsel","0.865","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"81 - Geheimnis im Spukhotel - Teil 05","0.863","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"Hüter des Lichts - Teil 1","0.861",NULL
"Teil 23 - Das Geheimnis der Geisterinsel","0.858","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"Kapitel 3.2 - Die kleine Hexe - Das Hörspiel","0.853","https://www.youtube.com/watch?v=dxyHbWqqFLA"
"96 - Tausendundein Tor! - Teil 05","0.852","https://www.youtube.com/watch?v=GCQrR48LprM"
"81 - Geheimnis im Spukhotel - Teil 04","0.844","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
"Teil 10 - Das Geheimnis der Geisterinsel","0.836","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"Intro","0.828","https://www.youtube.com/watch?v=HKS7W8xDdpw"
"Teil 8 - Das Geheimnis der Geisterinsel","0.821","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"Aaron Burr, Sir","0.818","https://www.youtube.com/watch?v=KAnVd7Fxb0g"
"Aaron Burr, Sir","0.818","https://www.youtube.com/watch?v=KAnVd7Fxb0g"
"152 - und das Geheimnis der Kelly Brüder - Teil 02","0.783","https://www.youtube.com/watch?v=yB7OzAm5M08"
"Drachenzähmen leicht gemacht - Teil 3","0.77","https://www.youtube.com/watch?v=Vqc7-MDCmIs"
"Teil 4 - Das Geheimnis der Geisterinsel","0.761","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"Jungle","0.737","https://www.youtube.com/watch?v=GfxcnX7XWfg"
"Kapitel 2.3 - Sindbad der Seefahrer","0.718","https://www.youtube.com/watch?v=e22Fl6a8T5I"
"Let Go - Acapella","0.714","https://www.youtube.com/watch?v=e7-BEhi8Knk"
"Drachenzähmen leicht gemacht 3 - Teil 4","0.709","https://www.youtube.com/watch?v=J6J3B4dbCX8"
"Kapitel 6.2 & Kapitel 7.1 - Die kleine Hexe - Das Hörspiel","0.707",NULL
"Teil 7 - Das Geheimnis der Geisterinsel","0.706","https://www.youtube.com/watch?v=GlfY8m3WJOE"
"96 - Tausendundein Tor! - Teil 06","0.705","https://www.youtube.com/watch?v=GCQrR48LprM"
"Castaways","0.701","https://www.youtube.com/watch?v=pOtXFVyP_hk"
"96 - Tausendundein Tor! - Teil 01","0.686","https://www.youtube.com/watch?v=GCQrR48LprM"
"How High (Remix)","0.675","https://www.youtube.com/watch?v=6kGIeBMbX9Y"
"How High (Remix)","0.675","https://www.youtube.com/watch?v=6kGIeBMbX9Y"
"81 - Geheimnis im Spukhotel - Teil 06","0.67","https://www.youtube.com/watch?v=Tv5WewUA3NQ"
