"track","tempo","tempo_category"
"Pura Adrenalina - Ao Vivo","94.006","Sedang"
"Reinventar","143.791","Cepat"
"Perfume - Ao Vivo","163.775","Cepat"
"Desse Jeito é Ruim pra Mim - Ao Vivo","148.204","Cepat"
"Perfume - Ao Vivo","139.826","Cepat"
"Pra Ver O Sol Brilhar (Ao Vivo)","73.89","Lambat"
"Dom de Sonhar / Encaixe Perfeito / Só Me Dá Prazer","104.043","Sedang"
"Supera / Luz das Estrelas / Ainda É Cedo pra Dizer Bye Bye / Desafio - Ao Vivo","85.273","Lambat"
"Real Talk","93.514","Sedang"
"Soldiers Prayer AM","79.101","Lambat"
"Baby Don't Cry (Keep Ya Head Up II)","93.984","Sedang"
"Still I Rise","87.601","Lambat"
"World Wide Remix - Feat. 2Pac & T-Low","100.003","Sedang"
"Homeboyz","98.668","Sedang"
"Hit Em Up - Nu-Mixx","95.155","Sedang"
"Killuminati","105.462","Sedang"
"Letter To The President","97.119","Sedang"
"U Can Be Touched","91.366","Sedang"
"Kangen","133.981","Cepat"
"Separuh Nafas","100.027","Sedang"
"Kamulah Satu-Satunya","148.033","Cepat"
"Selimut Hati","74.995","Lambat"
"Aku Milikmu","135.098","Cepat"
"Loaded Bases (feat. CeeLo Green)","168.174","Cepat"
"Fool for You (feat. Philip Bailey)","141.969","Cepat"
"Roman Picisan","159.542","Cepat"
"Aku Cinta Kau Dan Dia","168.325","Cepat"
"Dewi","79.993","Lambat"
"Cinta 'kan Membawamu Kembali","139.515","Cepat"
"The Night Begins To Shine","129.958","Cepat"
"Larut","90.028","Sedang"
"Feel so Good","105.154","Sedang"
"What You Want (feat. Total)","93.76","Sedang"
"All I Ever Wanted","205.006","Cepat"
"Welcome Back","88.426","Lambat"
"What You Want (feat. Total)","93.814","Sedang"
"Lookin' at Me (feat. Puff Daddy)","188.247","Cepat"
"Breathe, Stretch, Shake (feat. P. Diddy)","102.388","Sedang"
"Take Me There - From ""The Rugrats Movie"" Soundtrack","78.443","Lambat"
"Keep It On","191.811","Cepat"
"24 Hrs. to Live (feat. The Lox, Black Rob & DMX)","95.625","Sedang"
"Ya No Me Mires Así","115.658","Sedang"
"Mil Heridas","175.898","Cepat"
"Perdóname","140.004","Cepat"
"Vanidosa","109.887","Sedang"
"Descontrolado","118.011","Sedang"
"Cómo Sufro","103.514","Sedang"
"A Veces Lloro","203.966","Cepat"
"No Se Lo Digas A Ella","78.665","Lambat"
"Acuérdate De Mi","78.947","Lambat"
"Pequeña Orgullosa","149.303","Cepat"
"Gundellonaa (From ""Ori Devuda"")","132.194","Cepat"
"Almost Padipoyindhe Pilla (From ""Das Ka Dhamki"")","111.983","Sedang"
"Kadhaippoma (From ""Oh My Kadavule"")","90.012","Sedang"
"Marappadhilai Nenje - Additional Song","93.021","Sedang"
"Kadhaippoma Reprise - Background Score","138.145","Cepat"
"Avunanavaa (From ""Ori Devuda"")","142.548","Cepat"
"Thimiru Kaattaadha Di - From ""LKG""","95.01","Sedang"
"Nee Tholaindhaayo","135.087","Cepat"
"Kanne Kanne - Madras Gig","90.044","Sedang"
"Haiyo Haiyo (From ""Oh My Kadavule"")","123.007","Cepat"
"Y Te Amo","72.037","Lambat"
"Pero Te Vas A Arrepentir","145.516","Cepat"
"Palabras Tristes","144.992","Cepat"
"Un Dolor","69.226","Lambat"
"Soy Yo","68.025","Lambat"
"Títere","74.819","Lambat"
"Ni Tu Amigo, Ni Tu Amante","76.364","Lambat"
"Perdón Por Tus Lágrimas","149.716","Cepat"
"Frente A Frente","105.065","Sedang"
"Lágrimas Frente Al Mar","108.435","Sedang"
"La nena","157.369","Cepat"
"Reencuentro","160.082","Cepat"
"Un loco solitario","112.366","Sedang"
"Y yo que te amo","103.205","Sedang"
"Ganas de Ti","147.968","Cepat"
"Por Mis Defectos","171.163","Cepat"
"Ninguna de las dos","175.955","Cepat"
"Mentira","79.823","Lambat"
"Recuerdos","145.958","Cepat"
"Regresando","142.98","Cepat"
"Thendral Vanthu Theendumbothu","129.849","Cepat"
"Ennai Thottu","115.891","Sedang"
"Valaiyosai","123.182","Cepat"
"Unna Nenachu (From ""Psycho (Tamil)"")","82.511","Lambat"
"Nila Adhu Vanathumele","175.558","Cepat"
"Ennai Thalatta Varuvala (Duet)","116.99","Sedang"
"Per Vachaalum Vaikkaama (From ""Dikkiloona"")","74.995","Lambat"
"Thenpandi Cheemayile","120.971","Cepat"
"Namma Kattula","105.005","Sedang"
"Saayndhu Saayndhu","100.012","Sedang"
"Love Will Tear Us Apart - 2020 Remaster","146.924","Cepat"
"Disorder - 2007 Remaster","84.696","Lambat"
"Transmission - 2020 Digital Remaster","153.724","Cepat"
"Warsaw - 2010 Remaster","82.857","Lambat"
"She's Lost Control - 2007 Remaster","144.246","Cepat"
"Shadowplay - 2007 Remaster","145.443","Cepat"
"Interzone - 2007 Remaster","156.337","Cepat"
"Atmosphere - 2020 Digital Remaster","119.937","Sedang"
"New Dawn Fades - 2007 Remaster","78.339","Lambat"
"Digital - 2010 Remaster","167.735","Cepat"
"After Midnight","95.989","Sedang"
"Call Me The Breeze","91.658","Sedang"
"Don't Go To Strangers","117.549","Sedang"
"Cocaine","104.352","Sedang"
"Travelin' Light","121.762","Cepat"
"Call The Doctor","243.372","Cepat"
"Magnolia","74.233","Lambat"
"Carry On","110.999","Sedang"
"Crazy Mama","96.178","Sedang"
"Cajun Moon","102.413","Sedang"
"Stranded","92.358","Sedang"
"Our Time Is Now","99.325","Sedang"
"Silvera","137.052","Cepat"
"Flying Whales","95.438","Sedang"
"Amazonia","181.933","Cepat"
"L'enfant sauvage","87.803","Lambat"
"The Heaviest Matter of the Universe","102.729","Sedang"
"Born in Winter","127.996","Cepat"
"The art of dying","137.967","Cepat"
"Toxic garbage island","185.3","Cepat"
"Easy","132.909","Cepat"
"Nightshift","105.06","Sedang"
"Brick House","107.877","Sedang"
"Three Times A Lady","74.857","Lambat"
"Three Times A Lady","150.503","Cepat"
"Still","124.422","Cepat"
"Lady (You Bring Me Up)","120.979","Cepat"
"Sail On","142.417","Cepat"
"Machine Gun","113.103","Sedang"
"Oh No","85.731","Lambat"
"I Fall In Love Too Easily","128.607","Cepat"
"My Funny Valentine","133.32","Cepat"
"Time After Time - Vocal Version","99.783","Sedang"
"It's Always You - Vocal Version","81.735","Lambat"
"I Get Along Without You Very Well (Except Sometimes) - Vocal Version","103.34","Sedang"
"That Old Feeling","78.031","Lambat"
"But Not For Me - Vocal Version","82.174","Lambat"
"Look For The Silver Lining","80.397","Lambat"
"There Will Never Be Another You - Vocal Version","168.754","Cepat"
"Autumn Leaves","187.101","Cepat"
"Ms. Fat Booty","90.438","Sedang"
"Mathematics","93.79","Sedang"
"Hip Hop","90.238","Sedang"
"Sunshine","91.398","Sedang"
"UMI Says","121.342","Cepat"
"Oh No","87.579","Lambat"
"Speed Law","98.024","Sedang"
"Body Rock","92.72","Sedang"
"The Panties","85.118","Lambat"
"I Against I","100.007","Sedang"
"Float On","100.975","Sedang"
"Dashboard","135.938","Cepat"
"Dramamine","182.672","Cepat"
"Missed the Boat","104.007","Sedang"
"Lampshades on Fire","94.997","Sedang"
"The World At Large","76.973","Lambat"
"Ocean Breathes Salty","95.479","Sedang"
"Gravity Rides Everything","103.262","Sedang"
"Polar Opposites","176.156","Cepat"
"Heart Cooks Brain","81.514","Lambat"
"Laid to Rest","104.016","Sedang"
"Redneck","130.931","Cepat"
"Walk with Me In Hell","110.629","Sedang"
"Omerta","118.504","Sedang"
"Memento Mori","123.008","Cepat"
"Hourglass","115.64","Sedang"
"Descending","93.185","Sedang"
"Ruin","198.151","Cepat"
"Now You've Got Something to Die For","92.334","Sedang"
"COLD BLOOD","105.012","Sedang"
"I Will Follow You into the Dark","80.401","Lambat"
"Soul Meets Body","128.142","Cepat"
"Mary, Did You Know?","76.37","Lambat"
"Here to Forever","157.991","Cepat"
"The Sound of Settling","175.349","Cepat"
"Title and Registration","115.803","Sedang"
"A Lack of Color","135.799","Cepat"
"Transatlanticism","127.372","Cepat"
"Crooked Teeth","102.951","Sedang"
"Waterfalls","171.842","Cepat"
"I Will Possess Your Heart","133.074","Cepat"
"Born To Be Yours","114.011","Sedang"
"Old Town Road - Remix","136.041","Cepat"
"Achy Breaky Heart","121.808","Cepat"
"Butterfly Fly Away","134.977","Cepat"
"Old Town Road - Diplo Remix","140.036","Cepat"
"Time","87.998","Lambat"
"Old Town Road - Remix","136.009","Cepat"
"Ready, Set, Don't Go","76.988","Lambat"
"Love That Lets Go","135.983","Cepat"
"Noah (Stand Still)","156.133","Cepat"
"I Want My Mullet Back","111.954","Sedang"
"Sabor a Mí","97.011","Sedang"
"Piel Canela","118.588","Sedang"
"Historia de un Amor","100.735","Sedang"
"Bésame Mucho","121.755","Cepat"
"Sin Ti","111.072","Sedang"
"Cuando Vuelva a Tu Lado","100.382","Sedang"
"Nosotros","95.249","Sedang"
"Quizás, Quizás, Quizás","118.795","Sedang"
"En Mi Viejo San Juan (with Javier Solís)","102.69","Sedang"
"Son of a Preacher Man","181.701","Cepat"
"Spooky (Single Version)","106.329","Sedang"
"I Only Want To Be With You","133","Cepat"
"Take Another Little Piece of My Heart","79.16","Lambat"
"Spooky - Quinten 909 Radio Mix","122.992","Cepat"
"The Look Of Love","95.463","Sedang"
"In Private","129.564","Cepat"
"You Don't Own Me","100.278","Sedang"
"Spooky - Quinten 909 Extended Remix","122.993","Cepat"
"The Windmills of Your Mind","154.097","Cepat"
"I'll Stand by You","133.822","Cepat"
"2000 Miles - 2007 Remaster","66.214","Lambat"
"Brass in Pocket - 2006 Remaster","97.931","Sedang"
"Back on the Chain Gang - 2007 Remaster","153.24","Cepat"
"Don't Get Me Wrong - 2007 Remaster","203.617","Cepat"
"Middle of the Road - 2007 Remaster","166.799","Cepat"
"Hymn to Her - 2007 Remaster","95.166","Sedang"
"Have Yourself A Merry Little Christmas","83.201","Lambat"
"My City Was Gone - 2007 Remaster","107.699","Sedang"
"I Go to Sleep - 2018 Remaster","153.695","Cepat"
"Between the Bars","135.245","Cepat"
"Waltz #2 (XO)","132.178","Cepat"
"Angeles","118.139","Sedang"
"Say Yes","153.439","Cepat"
"Somebody That I Used To Know","108.446","Sedang"
"Miss Misery","125.132","Cepat"
"Needle In The Hay","116.165","Sedang"
"Son Of Sam","96.062","Sedang"
"Pitseleh","105.669","Sedang"
"Everything Reminds Me Of Her","168.045","Cepat"
"Solsbury Hill","102.457","Sedang"
"Sledgehammer - 2012 Remaster","96.319","Sedang"
"Don't Give Up - 2012 Remaster","161.409","Cepat"
"In Your Eyes - 2012 Remaster","89.284","Lambat"
"Panopticom - Bright Side Mix","140.005","Cepat"
"Heroes","90.071","Sedang"
"Unconditional II (Race and Religion) (feat. Peter Gabriel)","115.515","Sedang"
"Games Without Frontiers","95.949","Sedang"
"The Book Of Love","172.408","Cepat"
"My Body Is A Cage","79.806","Lambat"
"In My Room","110.072","Sedang"
"Boogie Woogie Wu","88.038","Lambat"
"Hokus Pokus","92.176","Sedang"
"Chop Chop Slide","122.997","Cepat"
"My Axe","109.045","Sedang"
"To Catch a Predator","177.795","Cepat"
"The Neden Game","151.946","Cepat"
"Halls Of Illusions","175.996","Cepat"
"Imma Kill U","107.987","Sedang"
"What Is A Juggalo?","174.118","Cepat"
"Can't Fight This Feeling","156.344","Cepat"
"Keep on Loving You","174.732","Cepat"
"Take It On the Run","77.81","Lambat"
"Time for Me to Fly","81.797","Lambat"
"In My Dreams","144.882","Cepat"
"Roll with the Changes","90.6","Sedang"
"Don't Let Him Go","105.593","Sedang"
"Keep Pushin'","147.594","Cepat"
"In Your Letter","131.079","Cepat"
"Ridin' the Storm Out","134.805","Cepat"
"The Final Countdown","117.662","Sedang"
"Carrie","136.482","Cepat"
"Rock the Night","105.37","Sedang"
"The Final Countdown","117.589","Sedang"
"Open Your Heart","121.888","Cepat"
"Superstitious","176.516","Cepat"
"Tomorrow","105.617","Sedang"
"Cherokee","111.118","Sedang"
"The Final Countdown - Remixed","119.084","Sedang"
"I'll Cry For You","99.032","Sedang"
"Here I Go Again - 2018 Remaster","89.939","Lambat"
"Is This Love - 2018 Remaster","179.904","Cepat"
"Here I Go Again","174.443","Cepat"
"Here I Go Again - Radio Mix","92.971","Sedang"
"Still of the Night - 2018 Remaster","100.175","Sedang"
"Fool for Your Loving - 2009 Remaster","125.861","Cepat"
"The Deeper the Love - 2019 Remaster","104.977","Sedang"
"Love Ain't No Stranger","125.823","Cepat"
"Give Me All Your Love - 2018 Remaster","102.731","Sedang"
"Too Many Tears - 2021 Remaster","92.084","Sedang"
"Camarão Que Dorme a Onda Leva","106.359","Sedang"
"Andar com fé","95.098","Sedang"
"Esperando na janela","156.28","Cepat"
"Toda Menina Baiana","106.163","Sedang"
"Palco","108.329","Sedang"
"Aquele Abraço","86.313","Lambat"
"A paz - Ao vivo","100.101","Sedang"
"Drão","114.918","Sedang"
"Aos Pés da Cruz","170.164","Cepat"
"Se Eu Quiser Falar Com Deus","96.228","Sedang"
"Senza Parole","79.991","Lambat"
"Sally","100.829","Sedang"
"E...","144.009","Cepat"
"Come Nelle Favole","110.056","Sedang"
"Una canzone per te","87.308","Lambat"
"Vita spericolata","109.408","Sedang"
"Albachiara - Remastered 2019","72.381","Lambat"
"Ogni volta","145.343","Cepat"
"Vivere","130.19","Cepat"
"Un Senso","132.253","Cepat"
"El Día De Mi Suerte","97.097","Sedang"
"El Cantante","95.345","Sedang"
"Periódico De Ayer","98.093","Sedang"
"Juanito Alimaña","90.698","Sedang"
"La Murga","89.013","Lambat"
"Ché Ché Colé","101.253","Sedang"
"Todo Tiene Su Final","101.299","Sedang"
"Aires De Navidad","97.049","Sedang"
"¿De Qué Tamaño Es Tu Amor?","94.958","Sedang"
"Triste Y Vacía","94.979","Sedang"
"Scary Garry","153.979","Cepat"
"Trunk","168.872","Cepat"
"Skinny Life","122.207","Cepat"
"Scary Garry - Slowed + Reverb","125.916","Cepat"
"THINKIN OF A DRIVE BY","179.998","Cepat"
"OLD GENESIS","164.899","Cepat"
"UTOPIA","75.035","Lambat"
"UNITY","144.924","Cepat"
"END OF LIFE","82.519","Lambat"
"OLD GENESIS - Remix","150.153","Cepat"
"Ojalá","91.24","Sedang"
"Óleo de Mujer Con Sombrero","141.231","Cepat"
"Quién Fuera","157.134","Cepat"
"El Breve Espacio en Que No Estas","73.638","Lambat"
"Canción Del Elegido","152.197","Cepat"
"Te Doy Una Canción","131.181","Cepat"
"La Maza","170.603","Cepat"
"Unicornio","101.744","Sedang"
"Pequeña Serenata Diurna","142.088","Cepat"
"¿Qué Hago Ahora?","125.945","Cepat"
"Magia (feat. Sebastián Yatra)","92.152","Sedang"
"Tu Despertador","76.521","Lambat"
"Besos Usados","172.008","Cepat"
"Tengo Ganas","99.105","Sedang"
"Mi Pesadilla","93.926","Sedang"
"Día Tras Día","172.029","Cepat"
"Lo Mejor Que Hay en Mi Vida","70.856","Lambat"
"Por el Resto de Mi Vida","75.905","Lambat"
"Déjame Ir","160.612","Cepat"
"Lo Que Había Olvidado","91.946","Sedang"
"Minuet in A major, D. 334","91.621","Sedang"
"Frühlingsglaube (Arr. Franz Liszt)","70.684","Lambat"
"Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)","66.685","Lambat"
"Winterreise, Op. 89, D. 911 (arr. T. Zimmermann and H. Holl): No. 21. Tauschung","133.325","Cepat"
"Serenade, D. 957, No. 4","91.169","Sedang"
"Die Nacht (Arr. for Cello and Guitar by Anja Lechner and Pablo Márquez)","84.642","Lambat"
"4 Impromptus, Op. 90, D.899: No. 4 in A Flat Major: Allegretto","125.242","Cepat"
"Schwanengesang, D. 957: Ständchen ""Leise flehen meine Lieder""","178.716","Cepat"
"Variations on an Original Theme in A-Flat Major, D. 813: VI. Variation V","132.97","Cepat"
"Schwanengesang, D. 957: IV. Ständchen","167.025","Cepat"
"El Ultimo Adiós - Varios Artistas Version","77.986","Lambat"
"Mentira","132.199","Cepat"
"El Duelo","107.069","Sedang"
"El Duelo (feat. Ely Guerra)","112.532","Sedang"
"Día Cero","99.918","Sedang"
"Aquí","100.004","Sedang"
"Fuera de mí","137.032","Cepat"
"Aquí","98.285","Sedang"
"Doble Opuesto","134.044","Cepat"
"Sin Ti","112.029","Sedang"
"Woman in Love","169.735","Cepat"
"Guilty (feat. Barry Gibb)","150.875","Cepat"
"I Finally Found Someone (feat. Bryan Adams)","138.964","Cepat"
"The Way We Were","138.108","Cepat"
"Evergreen (Love Theme from, ""A Star Is Born"")","114.224","Sedang"
"Tell Him (Duet with Barbra Streisand)","74.463","Lambat"
"You Don't Bring Me Flowers","67.006","Lambat"
"Memory","79.471","Lambat"
"What Kind of Fool (feat. Barry Gibb)","79.88","Lambat"
"Don't Rain On My Parade","93.791","Sedang"
"Hot Stuff","120.471","Cepat"
"Hot Stuff","119.961","Sedang"
"Hot Stuff - 12"" Version","120.4","Cepat"
"Bad Girls","120.529","Cepat"
"On The Radio","127.46","Cepat"
"I Feel Love - 12"" Version","128.13","Cepat"
"Last Dance - Single Version","126.351","Cepat"
"She Works Hard For The Money","136.502","Cepat"
"Hot Stuff - Single Version","120.954","Cepat"
"I Feel Love","126.696","Cepat"
"Lyric Pieces, Book 5, Op. 54: Nocturne","72.282","Lambat"
"Lyric Pieces, Book 1, Op. 12: I. Arietta","75.387","Lambat"
"Lyric Pieces, Book 1, Op. 12: Arietta","111.242","Sedang"
"Lyric Pieces, Book 9, Op. 68: Badnlat (Cradle Song)","111.591","Sedang"
"Piano Concerto in A minor, Op. 16: II. Adagio - Live","144.414","Cepat"
"Lyrical Pieces, Op. 12 (Excerpts): No. 1, Arietta","66.308","Lambat"
"Lyric Pieces Book I, Op. 12: No. 1 Arietta","129.794","Cepat"
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","94.4","Sedang"
"Lyric Pieces Book I, Op. 12: No. 7 Album Leaf","99.719","Sedang"
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato","105.541","Sedang"
"Color Esperanza 2020","106.002","Sedang"
"Color Esperanza","100.962","Sedang"
"Sueños (with Julieta Venegas) - MTV Unplugged","104.029","Sedang"
"Tratar de Estar Mejor","85.994","Lambat"
"Penelope","99.025","Sedang"
"Sueños","103.825","Sedang"
"Un Poquito","95.993","Sedang"
"Usted (feat. Vicentico) - MTV Unplugged","101.913","Sedang"
"Guapa","139.837","Cepat"
"Se Que Ya No Volverás","171.82","Cepat"
"Sinônimos","110.733","Sedang"
"Chão de Giz","143.853","Cepat"
"Ai Que Saudade D'Ocê","112.121","Sedang"
"Entre a Serpente e a Estrela (Amarillo By Money)","119.943","Sedang"
"Sinônimos (Ao Vivo)","137.448","Cepat"
"Coração Bobo - Ao Vivo","111.902","Sedang"
"Chão de Giz","140.976","Cepat"
"Garoto de Aluguel (Taxi Boy) [Ao Vivo]","90.841","Sedang"
"Admirável Gado Novo","87.275","Lambat"
"Sabiá - Ao Vivo","142.331","Cepat"
"Aunque Te Enamores","141.094","Cepat"
"Que Suerte Tiene El","96.004","Sedang"
"Como Tú","93.517","Sedang"
"Una Mujer Como Tú","89.985","Lambat"
"Quedate Conmigo","92","Sedang"
"Enséñame A Vivir Sin Ti","144.051","Cepat"
"Porque Aun Te Amo","123.893","Cepat"
"Quédate","138.057","Cepat"
"Sin Haber Dormido","179.958","Cepat"
"Sin Testigos","121.962","Cepat"
"I'll Be Missing You (feat. 112)","109.877","Sedang"
"Love Like This","100.904","Sedang"
"Hope","106.948","Sedang"
"Soon as I Get Home","120.141","Cepat"
"I Love You","168.004","Cepat"
"Can't Believe (feat. Carl Thomas)","89.591","Lambat"
"You Used to Love Me","89.266","Lambat"
"Party on the West Coast (feat. Snoop Dogg)","103.951","Sedang"
"Never Gonna Let You Go","109.936","Sedang"
"Between The Lines","103.694","Sedang"
"Apenas Mais uma de Amor","165.961","Cepat"
"Tempos Modernos","125.867","Cepat"
"Cabelo De Anjo","86.991","Lambat"
"Toda Forma de Amor","137.905","Cepat"
"Tão Bem","82.613","Lambat"
"A Cura","159.936","Cepat"
"O Descobridor dos Sete Mares","136.748","Cepat"
"Tudo Bem","81.311","Lambat"
"Tempos Modernos","126.011","Cepat"
"Um certo alguém","134.682","Cepat"
"Merry Christmas Everyone","202.899","Cepat"
"You Drive Me Crazy","119.494","Sedang"
"Because I Love You","102.048","Sedang"
"A Rockin' Good Way (to Mess Around and Fall in Love)","129.109","Cepat"
"Give Me Your Heart Tonight","128.33","Cepat"
"I Cry Just a Little Bit","124.286","Cepat"
"This Ole House","192.811","Cepat"
"Oh Julie","160.249","Cepat"
"A Love Worth Waiting For","130.697","Cepat"
"Marie, Marie","170.011","Cepat"
"Só Hoje - Acústico","144.101","Cepat"
"Só Hoje","144.183","Cepat"
"Dias Melhores - Acústico","104.027","Sedang"
"Além do Horizonte","140.004","Cepat"
"Dias Melhores","106.04","Sedang"
"Fácil","101.93","Sedang"
"O Sol","160.024","Cepat"
"Pra Quando Você Se Lembrar de Mim - Acústico","119.979","Sedang"
"O Que Eu Também Não Entendo","114.035","Sedang"
"Fácil - Acústico","95.914","Sedang"
"Tengo Ganas","94.616","Sedang"
"No Quería Engañarte","182.149","Cepat"
"Si Tú Me Besas","102.918","Sedang"
"Apiádate de Mi","168.788","Cepat"
"He Tratado","91.547","Sedang"
"Por Ella","172.915","Cepat"
"Mala y Peligrosa (feat. Bad Bunny)","88.993","Lambat"
"Ay Amor - Reggaeton","179.968","Cepat"
"Dile a Ella","86.912","Lambat"
"Voy A Prometerme","90.257","Sedang"
"Esclavo y Amo","186.614","Cepat"
"En Tu Pelo","145.366","Cepat"
"Entrega Total","78.1","Lambat"
"Renunciación","134.957","Cepat"
"Media Vuelta","93.953","Sedang"
"Sombras Nada Más","99.526","Sedang"
"El Loco","113.384","Sedang"
"Y...","94.857","Sedang"
"Sombras - Versión Trío","94.962","Sedang"
"Cataclismo","109.558","Sedang"
"You Got It","122.074","Cepat"
"Do You Mind","96.522","Sedang"
"Let's Get Married","132.177","Cepat"
"4 Walls","127.955","Cepat"
"Girls Need Love (V-Mix)","97.101","Sedang"
"Equal","80.974","Lambat"
"Celebrate","193.62","Cepat"
"FOREVER","119.906","Sedang"
"Dilemma (Remake)","82.536","Lambat"
"4 Words","94.343","Sedang"
"Tá Vendo Aquela Lua","163.966","Cepat"
"Livre Pra Voar (Quando A Gente Se Encontrar)","175.906","Cepat"
"Me Apaixonei Pela Pessoa Errada","140.843","Cepat"
"Calma Amor - Ao Vivo Na Ilha Da Magia,Brasil/2008","96.19","Sedang"
"Fugidinha","172.283","Cepat"
"Tchau e Bença - Live From Brazil / 2007","95.517","Sedang"
"Valeu - Ao Vivo Na Ilha Da Magia,Brasil/2008","87.527","Lambat"
"Mega Star - Ao Vivo Em Brasil/2008","165.717","Cepat"
"Teu Segredo - Ao Vivo Na Ilha Da Magia,Brasil/2008","141.951","Cepat"
"Até O Sol Quis Ver - Ao Vivo Na Ilha Da Magia,Brasil/2008","147.976","Cepat"
"This Kiss","186.752","Cepat"
"Breathe","136.859","Cepat"
"There You'll Be - 2007 Remaster","129.021","Cepat"
"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack","109.479","Sedang"
"Wild One","135.787","Cepat"
"The Way You Love Me","101.99","Sedang"
"The Rest of Our Life","119.921","Sedang"
"It Matters to Me","135.622","Cepat"
"All My Ex's Live In Texas - Live","133.742","Cepat"
"I Need You","159.298","Cepat"
"HANABI","112.005","Sedang"
"Tomorrow never knows","109.035","Sedang"
"名もなき詩","125.898","Cepat"
"innocent world","119.822","Sedang"
"シーソーゲーム~勇敢な恋の歌~","135.06","Cepat"
"Sign","105.018","Sedang"
"GIFT","148.217","Cepat"
"足音 ~Be Strong","146.003","Cepat"
"しるし","74.025","Lambat"
"抱きしめたい","144.024","Cepat"
"Da Rockwilder","99.137","Sedang"
"Tonight's Da Night","90.247","Sedang"
"Part II","95.86","Sedang"
"Smoke Buddah","171.942","Cepat"
"Time 4 Sumaksion","102.857","Sedang"
"How High - Remix","91.577","Sedang"
"Pick It Up","94.045","Sedang"
"Brick City Mashin'!","93.921","Sedang"
"How High (Remix)","186.039","Cepat"
"Pack a Lunch (with Redman)","109.439","Sedang"
"Cosas Buenas Que Parecen Malas","83.009","Lambat"
"Limosnero De Cariño","84.415","Lambat"
"Amor En Silencio","76.68","Lambat"
"Verdades Que Duelen","82.826","Lambat"
"Una Banda Y Un Corrido","183.977","Cepat"
"Un Títere","163.107","Cepat"
"Corazones Rotos","167.933","Cepat"
"No Me Importa","79.945","Lambat"
"Ni El Primero Ni El Último","84.45","Lambat"
"Adiós Y Buena Suerte","116.562","Sedang"
"Bin in Trance","160.978","Cepat"
"HaifischNikez Allstars","87.538","Lambat"
"Auf Clouds","139.031","Cepat"
"Vielen Dank","100.027","Sedang"
"So High","143.898","Cepat"
"Wer von Euch?!","139.891","Cepat"
"Bob Marley","143.953","Cepat"
"Optimal","148.968","Cepat"
"10 Jahre","121.115","Cepat"
"187 Gang","173.957","Cepat"
"I Wanna Know","136.086","Cepat"
"Faded Pictures","82.011","Lambat"
"No One Else Comes Close","110.092","Sedang"
"Ride wit U (feat. G-Unit)","101.978","Sedang"
"All The Things (Your Man Won't Do)","66.215","Lambat"
"Stutter (feat. Mystikal) - Double Take Remix","89.989","Lambat"
"If I Was Your Man","94.932","Sedang"
"More & More","139.974","Cepat"
"Another Used To Be","113.999","Sedang"
"I Believe in You","59.957","Lambat"
"Cennet","180.015","Cepat"
"Çingenem","119.153","Sedang"
"Ölümsüz Aşklar","76.943","Lambat"
"Demir Attım","156.439","Cepat"
"Söyleyin","71.205","Lambat"
"Harika","120.015","Cepat"
"Kızıl, Mavi","126.975","Cepat"
"Sonsuza Dek","139.767","Cepat"
"Yaparım Bilirsin","107.001","Sedang"
"Severek Öleceğim","80.977","Lambat"
"Nee Paartha Vizhigal - The Touch of Love","110.055","Sedang"
"Kaadhal Vaithu","100.217","Sedang"
"Don'u Don'u Don'u (From ""Maari"") - The Don's Romance","89.982","Lambat"
"Etho Mazhayil","169.749","Cepat"
"Thanne Thanne","165.313","Cepat"
"Maari Thara Local (From ""Maari"") - Here Comes Maari","94.945","Sedang"
"Malare","82.525","Lambat"
"Evare","82.499","Lambat"
"Uyirin Naadhane - From ""Joseph""","130.018","Cepat"
"Piriyadha Enna","89.901","Lambat"
"Pale Blue Eyes","82.879","Lambat"
"Sunday Morning","105.826","Sedang"
"Femme Fatale","103.918","Sedang"
"I'll Be Your Mirror","108.976","Sedang"
"After Hours","120.834","Cepat"
"Oh! Sweet Nuthin' - 2015 Remaster","75.601","Lambat"
"Sweet Jane - Full Length Version; 2015 Remaster","105.205","Sedang"
"I'm Waiting For The Man","125.844","Cepat"
"Rock & Roll - Full Length Version; 2015 Remaster","132.526","Cepat"
"Heroin","145.733","Cepat"
"To Build A Home","148.499","Cepat"
"That Home","85.508","Lambat"
"Arrival of the Birds","173.33","Cepat"
"To Believe","69.751","Lambat"
"Transformation","86.64","Lambat"
"Wait For Now - Mary Lattimore Rework","130.574","Cepat"
"Channel 1 Suite","173.028","Cepat"
"To Build A Home - Radio Version","74.483","Lambat"
"A Caged Bird/Imitations of Life","119.01","Sedang"
"All That You Give","125.417","Cepat"
"Ilegal","116.916","Sedang"
"La Complicidad","129.01","Cepat"
"Saca, Prende y Sorprende","85.965","Lambat"
"Baja la Tensión","123.955","Cepat"
"Rimas Pa' Seducir","124.052","Cepat"
"Un Deseo","127.969","Cepat"
"Te Creí","130.079","Cepat"
"Para Estar","121.04","Cepat"
"De Antes","129.581","Cepat"
"La Espera","75.314","Lambat"
"It's Been Awhile","116.529","Sedang"
"So Far Away","138.697","Cepat"
"Mudshovel","106.606","Sedang"
