"track","tempo","tempo_category"
"Just A Cloud Away","112.555","Sedang"
"Frontin' (feat. Jay-Z) - Club Mix","102.009","Sedang"
"lovely (with Khalid)","115.284","Sedang"
"Numb","119.966","Sedang"
"Silence","141.971","Cepat"
"Doomsday","95.416","Sedang"
"Better","97.949","Sedang"
"Location","80.126","Lambat"
"8TEEN","105.03","Sedang"
"Beautiful People (feat. Khalid)","92.979","Sedang"
"Love Lies (with Normani)","143.955","Cepat"
"Shakira: Bzrp Music Sessions, Vol. 53","122.104","Cepat"
"Monotonía","131.963","Cepat"
"Te Felicito","174.14","Cepat"
"Hips Don't Lie (feat. Wyclef Jean)","100.024","Sedang"
"Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)","126.994","Cepat"
"DON'T YOU WORRY","131.971","Cepat"
"Guzarish (From ""Ghajini"")","169.972","Cepat"
"Dia de Enero","165.747","Cepat"
"Chantaje (feat. Maluma)","102.034","Sedang"
"Inevitable","91.976","Sedang"
"Antologia","97.967","Sedang"
"my ex's best friend (with blackbear)","124.939","Cepat"
"I Think I'm OKAY (with YUNGBLUD & Travis Barker)","119.921","Sedang"
"Land of Confusion - 2007 Remaster","115.169","Sedang"
"maybe (feat. Bring Me The Horizon)","88.014","Lambat"
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","82.034","Lambat"
"forget me too (feat. Halsey)","99.975","Sedang"
"bloody valentine","160.057","Cepat"
"Bad Things (with Camila Cabello)","137.853","Cepat"
"make up sex (feat. blackbear)","131.986","Cepat"
"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)","92.057","Sedang"
"ay! (feat. Lil Wayne)","147.002","Cepat"
"X","179.968","Cepat"
"El Perdón (with Enrique Iglesias)","179.908","Cepat"
"Bella y Sensual","179.864","Cepat"
"Nicky Jam: Bzrp Music Sessions, Vol. 41","89.907","Lambat"
"Cuaderno","172.02","Cepat"
"En La Cama (feat. Daddy Yankee)","104.072","Sedang"
"Si Te Preguntan...","136.945","Cepat"
"Hasta el Amanecer","94.013","Sedang"
"Color Esperanza 2020","106.002","Sedang"
"Donde Estan las Gatas","109.933","Sedang"
"Here Comes The Sun - Remastered 2009","129.171","Cepat"
"Let It Be - Remastered 2009","143.462","Cepat"
"New Kid in Town - 2013 Remaster","107.383","Sedang"
"Come Together - Remastered 2009","165.007","Cepat"
"Yesterday - Remastered 2009","96.529","Sedang"
"Twist And Shout - Remastered 2009","124.631","Cepat"
"Blackbird - Remastered 2009","93.699","Sedang"
"In My Life - Remastered 2009","103.239","Sedang"
"Hey Jude - Remastered 2015","147.207","Cepat"
"I Want To Hold Your Hand - Remastered 2015","130.726","Cepat"
"Something - Remastered 2009","133.522","Cepat"
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)","129.024","Cepat"
