"track","artist","instrumentalness","url_youtube"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso","Berliner Philharmoniker","0.954","https://www.youtube.com/watch?v=rvfTaxEAQPc"
"The Good, The Bad And The Ugly - Main Title","Ennio Morricone","0.954","https://www.youtube.com/watch?v=J9EZGHcu3E8"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 14a, Pas de deux. Andante maestoso","Pyotr Ilyich Tchaikovsky","0.954","https://www.youtube.com/watch?v=rvfTaxEAQPc"
"Waltz","Fabrizio Paterlini","0.953","https://www.youtube.com/watch?v=4rZHyOAxUsM"
"Nocturne No. 2 In E Flat, Op. 9 No. 2","Frédéric Chopin","0.953","https://www.youtube.com/watch?v=9E6b3swbnWg"
"Temple White","Ludovico Einaudi","0.953","https://www.youtube.com/watch?v=x8OmZkbhvDU"
"The hall is dancing","Fabrizio Paterlini","0.953","https://www.youtube.com/watch?v=q4JvJ0S7TVk"
"Etudes symphoniques (Symphonic Etudes), Op. 13, Adagio and Allegro brillante: Variation 11 [arr. P.I. Tchaikovsky for orchestra]","Robert Schumann","0.953","https://www.youtube.com/watch?v=uOG_D2d7M3A"
"A Lannister Always Pays His Debts","Ramin Djawadi","0.952","https://www.youtube.com/watch?v=jERdloSRJEw"
"What Child Is This","Vince Guaraldi Trio","0.952","https://www.youtube.com/watch?v=e2HFIDW8DdM"
"When Orange is the Sky","Fabrizio Paterlini","0.952","https://www.youtube.com/watch?v=giOoN1e63N4"
"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano & Bass)","George Frideric Handel","0.952","https://www.youtube.com/watch?v=m226JNPusd4"
"Nocturne No. 19 in E Minor, Op. 72, No. 1","Frédéric Chopin","0.952","https://www.youtube.com/watch?v=Wx0jkZdQwN8"
"Far Horizons","Jeremy Soule","0.952","https://www.youtube.com/watch?v=C2LWupzMMYE"
"Adagietto","Ludwig van Beethoven","0.952","https://www.youtube.com/watch?v=yC3iKwYVqJM"
"Natural Light","Ludovico Einaudi","0.951","https://www.youtube.com/watch?v=dDEAZ8oE0n0"
"Tandav","Laxmikant–Pyarelal","0.951","https://www.youtube.com/watch?v=2008Lrg30MM"
"The Piano Duet","Danny Elfman","0.951","https://www.youtube.com/watch?v=EBS9o9RCyt4"
"Can't Fight City Halloween","Michael Giacchino","0.951","https://www.youtube.com/watch?v=VLEIgw58Lgo"
"Schumann: Kinderszenen, Op. 15: No. 1, Von fremden Ländern und Menschen","Robert Schumann","0.95","https://www.youtube.com/watch?v=tYg6d7CUHRA"
"16 Waltzes, Op. 39 (1867 version): No. 15 in A-Flat Major","Johannes Brahms","0.95","https://www.youtube.com/watch?v=jd7yt4somIA"
"Earth","The Lyndhurst Orchestra","0.95","https://www.youtube.com/watch?v=nH3ibTjuLYs"
"Skateboard Delivery","José González","0.95","https://www.youtube.com/watch?v=F6in0mUagmY"
"First Step","Hans Zimmer","0.95","https://www.youtube.com/watch?v=2ItEGRnsIqg"
"The Path (A New Beginning)","Gustavo Santaolalla","0.95","https://www.youtube.com/watch?v=vC4CfQJLhuk"
"Gnossienne No. 1 (Arr. Kleynjans)","Erik Satie","0.95","https://www.youtube.com/watch?v=OnFuSC0Q_Ig"
"Burning","I Virtuosi Italiani","0.95","https://www.youtube.com/watch?v=RIf2OXtDhhQ"
"Earth","Gavin Greenaway","0.95","https://www.youtube.com/watch?v=ZTgyMrxmteg"
"Veridis Quo","Daft Punk","0.949","https://www.youtube.com/watch?v=HhZaHf8RP6g"
"528 Hz Manifest Your Greatness","Miracle Tones","0.949","https://www.youtube.com/watch?v=WIIZe2_KmIQ"
"528 Hz Manifest Your Greatness","Solfeggio Healing Frequencies MT","0.949","https://www.youtube.com/watch?v=WIIZe2_KmIQ"
"6 Chants polonais, S. 480: No. 2, Frühling (Wiosna, Spring) [After Chopin's Op. 74]","Franz Liszt","0.949","https://www.youtube.com/watch?v=vrUuj2f7g2o"
"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air ""On a G String"" (Arr. for Piano)","Lang Lang","0.949","https://www.youtube.com/watch?v=_fvHYbYDrpU"
"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Lang Lang","0.948","https://www.youtube.com/watch?v=GwcyH-aWUc8"
"Bruyères - Home Session","Claude Debussy","0.948","https://www.youtube.com/watch?v=i262-DFo2b8"
"All Gone (No Escape)","Gustavo Santaolalla","0.947","https://www.youtube.com/watch?v=Xd-GB_ueJgA"
"Harry and Ginny","Alexandre Desplat","0.947","https://www.youtube.com/watch?v=VUS5-MQmCsA"
"9 Pm - Till I Come","ATB","0.947","https://www.youtube.com/watch?v=ri6Efk1SPJc"
"3 Gymnopédies: No. 1 Lent et douloureux","Erik Satie","0.946","https://www.youtube.com/watch?v=S-Xm7s9eGxU"
"Away","Vacations","0.946","https://www.youtube.com/watch?v=WCMCAMqCT2c"
"Konoha Peace (Naruto)","Kato","0.946","https://www.youtube.com/watch?v=UHR6y7faVJM"
"Dream 1 (before the wind blows it all away) - Pt. 8","Max Richter","0.946","https://www.youtube.com/watch?v=RjeFXf1rqww"
"Watermark","Enya","0.946","https://www.youtube.com/watch?v=bPCdsa7hS7M"
"Symphony No. 2 In C Minor - ""Resurrection"" / 1st Movement - Allegro maestoso (Totenfeier): Im Tempo nachgeben","Wiener Philharmoniker","0.945","https://www.youtube.com/watch?v=pkuyhQHUXec"
"You and I","d4vd","0.945","https://www.youtube.com/watch?v=K7Us2s0n8mg"
"Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam","Daniel Barenboim","0.945","https://www.youtube.com/watch?v=hQbx-OkfN-M"
"Nocturne Op. 9 No. 2","Frédéric Chopin","0.945","https://www.youtube.com/watch?v=9E6b3swbnWg"
"Numb","Men I Trust","0.945","https://www.youtube.com/watch?v=xAz_DzPUjrM"
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","London Symphony Orchestra","0.945","https://www.youtube.com/watch?v=znlUBaLH2zY"
"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""","Ludwig van Beethoven","0.945","https://www.youtube.com/watch?v=wfF0zHeU3Zs"
"Sweden","C418","0.945","https://www.youtube.com/watch?v=f6aJaBjeHxY"
"Distractions","Fabrizio Paterlini","0.945","https://www.youtube.com/watch?v=3P2KrL8CNb8"
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto","Sergei Rachmaninoff","0.945","https://www.youtube.com/watch?v=TdiAwCPb_As"
"Wespn Slow","Dybbukk","0.945",NULL
"Ice Dance","Danny Elfman","0.944","https://www.youtube.com/watch?v=fVHo4HNqKjM"
"WWE: Head of the Table (Roman Reigns)","WWE","0.944","https://www.youtube.com/watch?v=zR7oPtxCzrM"
"Gnossienne No. 1","Erik Satie","0.944","https://www.youtube.com/watch?v=PLFVGwGQcB0"
"Wherever You Go","Beach House","0.943","https://www.youtube.com/watch?v=qFeZpbL2roA"
"O Holy Night","John Williams","0.943","https://www.youtube.com/watch?v=TW1lHKDhWKc"
"The Departure","Max Richter","0.943","https://www.youtube.com/watch?v=DmQmepDPg6I"
"Cosmos","Chill Fruits Music","0.943","https://www.youtube.com/watch?v=CsUagrRQkyM"
"Cantata No. 208 'Sheep may safely graze' (arr. Marinner)","Sir Neville Marriner","0.943","https://www.youtube.com/watch?v=VP04riScKEA"
"River Flows In You","Yiruma","0.943","https://www.youtube.com/watch?v=7maJOI3QMu0"
"Goldberg Variations, BWV 988: Aria","Johann Sebastian Bach","0.943","https://www.youtube.com/watch?v=55hk75OgWDg"
"River Flows in You - Orchestra Version","Yiruma","0.943","https://www.youtube.com/watch?v=yMlxYBbNdb4"
"Main Title","Danny Elfman","0.943","https://www.youtube.com/watch?v=GS2Ob_UW2Pg"
"Cosmos","Lofi Fruits Music","0.943","https://www.youtube.com/watch?v=CsUagrRQkyM"
"Kong","Bonobo","0.942","https://www.youtube.com/watch?v=_MBU6qylOjk"
"Rose","James Horner","0.942","https://www.youtube.com/watch?v=iUH0dEe1jvA"
"Hearing","Sleeping At Last","0.942","https://www.youtube.com/watch?v=SCYe0GC2M94"
"Secunda","Jeremy Soule","0.942","https://www.youtube.com/watch?v=iqkQRgGdAPo"
"Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon","Sir Neville Marriner","0.942","https://www.youtube.com/watch?v=1RVDUKrB9tU"
"432 Hz Miracle Sleep Tone","Miracle Tones","0.941","https://www.youtube.com/watch?v=nSH7Od71uc0"
"Satie / Orch. Ducros: Gymnopédie No. 1","Erik Satie","0.94","https://www.youtube.com/watch?v=S-Xm7s9eGxU"
"Forbidden Friendship","John Powell","0.94","https://www.youtube.com/watch?v=96NgGuKQcmo"
"The Swan","Camille Saint-Saëns","0.94","https://www.youtube.com/watch?v=3qrKjywjo7Q"
"The Departure","Lang Lang","0.94","https://www.youtube.com/watch?v=2Yq46W11Rng"
"God of War","Bear McCreary","0.94","https://www.youtube.com/watch?v=jpyVfd8TyoI"
"Ode to Vivian","Patrick Watson","0.94","https://www.youtube.com/watch?v=lcuMwAt3MjI"
"Atom 8","Sleeping At Last","0.94","https://www.youtube.com/watch?v=eFGmy94O0S8"
"P.S. I Love You","John Powell","0.939","https://www.youtube.com/watch?v=-bxXoLXYa0k"
"Warm Embrace","Chill Fruits Music","0.939","https://www.youtube.com/watch?v=eOkAFNKlr6M"
"Rhapsody On a Theme of Paganini, Op. 43: V. Variation XVIII","Sergei Rachmaninoff","0.939","https://www.youtube.com/watch?v=ThTU04p3drM"
"Go Outside","Cults","0.939","https://www.youtube.com/watch?v=eAM9diyVRiM"
"Wet Hands","C418","0.939","https://www.youtube.com/watch?v=MSepOYJxB64"
"Warm Embrace","Lofi Fruits Music","0.939","https://www.youtube.com/watch?v=eOkAFNKlr6M"
"Back to School","Chill Fruits Music","0.938","https://www.youtube.com/watch?v=SgXDlyrc0cw"
"Lyric Pieces, Book 1, Op. 12: Arietta","Edvard Grieg","0.938","https://www.youtube.com/watch?v=5TbQftYOKms"
"Back to School","Lofi Fruits Music","0.938","https://www.youtube.com/watch?v=7hwSISHWFeY"
"The Theory of Everything","Jóhann Jóhannsson","0.938","https://www.youtube.com/watch?v=umj8yGz7qz0"
"Come Back to Us","Thomas Newman","0.937","https://www.youtube.com/watch?v=UOSEq1n8bYg"
"Gymnopédie No. 1","Erik Satie","0.937","https://www.youtube.com/watch?v=S-Xm7s9eGxU"
"River Flows In You","Yiruma","0.937","https://www.youtube.com/watch?v=7maJOI3QMu0"
"Day Of The River","Joe Hisaishi","0.937","https://www.youtube.com/watch?v=qg-g2DH8GZw"
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","Frédéric Chopin","0.936","https://www.youtube.com/watch?v=9E6b3swbnWg"
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","Daniel Barenboim","0.936","https://www.youtube.com/watch?v=EMbblaF8jNY"
"Wind Quintet in E-Flat Major, Hess 19: II. Adagio maestoso","Ludwig van Beethoven","0.936","https://www.youtube.com/watch?v=wSJV2hbd0LM"
"Cançoneta for Violin and Orchestra","Academy of St. Martin in the Fields","0.936","https://www.youtube.com/watch?v=YbKTyXEO85k"
"Sunset Bird","Yiruma","0.936","https://www.youtube.com/watch?v=_efm97x38K8"
"Also sprach Zarathustra, Op. 30, TrV 176: Prelude (Sonnenaufgang)","Herbert von Karajan","0.935","https://www.youtube.com/watch?v=M-2ed2hY6Ck"
"irreplaceable","Royal Philharmonic Orchestra","0.935","https://www.youtube.com/watch?v=Tut4DByTm9c"
"Ratatouille Main Theme","Michael Giacchino","0.935","https://www.youtube.com/watch?v=A078E6faw18"
"Little Martha","Allman Brothers Band","0.935","https://www.youtube.com/watch?v=ngyk7wE0Peg"
"Zdes' khorosho ('How Fair This Spot'), Op. 21, No. 7","Sergei Rachmaninoff","0.935","https://www.youtube.com/watch?v=NGk1CS4_z0o"
"Tu m'as tué","M83","0.935","https://www.youtube.com/watch?v=7uE5p5qF_ps"
"Topical Solution","Duster","0.934","https://www.youtube.com/watch?v=M23DEQDcnT0"
"Transformation","The Cinematic Orchestra","0.934","https://www.youtube.com/watch?v=n88MReEC27k"
"Flute Sonata in E-Flat Major, BWV 1031: II. Siciliano (arr. I. Friedman for piano)","Johann Sebastian Bach","0.934","https://www.youtube.com/watch?v=FHqytGT0lqo"
"Unity – The Official FIFA Women’s World Cup 2023™ Theme","FIFA Sound","0.934","https://www.youtube.com/watch?v=csn_6uwoElg"
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 1, Decoration of the Christmas Tree","Sir Simon Rattle","0.934","https://www.youtube.com/watch?v=jc62GZC5p8s"
"Many Meetings","Howard Shore","0.934","https://www.youtube.com/watch?v=k3PqqcmWYas"
"Gold Dust","Duster","0.934","https://www.youtube.com/watch?v=FrHW6_aJSKc"
"Lyrical Pieces, Op. 12 (Excerpts): No. 1, Arietta","Edvard Grieg","0.934","https://www.youtube.com/watch?v=5TbQftYOKms"
"apathy","Øneheart","0.933","https://www.youtube.com/watch?v=FgjA9EuxIlY"
"Arrival of the Birds","The Cinematic Orchestra","0.933","https://www.youtube.com/watch?v=n88MReEC27k"
"Bach, JS : Well-Tempered Clavier Book 2 : Prelude No.3 in C sharp major BWV872","Daniel Barenboim","0.933","https://www.youtube.com/watch?v=1InCQ7IAK5M"
"Cirrus","Bonobo","0.933","https://www.youtube.com/watch?v=WF34N4gJAKE"
"Eptesicus","James Newton Howard","0.933","https://www.youtube.com/watch?v=A11eThPRnsg"
"Nocturne No. 6 in G Minor, Op. 15 No. 3","Daniel Barenboim","0.933","https://www.youtube.com/watch?v=3gFu8X6y7LQ"
"Suite Bergamasque, L. 75: III. Clair de lune (Andante très expressif)","Claude Debussy","0.932","https://www.youtube.com/watch?v=fZrm9h3JRGs"
"Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": I. Allegro","Lang Lang","0.932","https://www.youtube.com/watch?v=4xeAsc6m35w"
"The Christmas Song","Vince Guaraldi Trio","0.932","https://www.youtube.com/watch?v=XImkt_M70-A"
"Luminous","Ludovico Einaudi","0.931","https://www.youtube.com/watch?v=ZP6BKxtiHI4"
"call out my name (sped up) - tiktok version","accelerate","0.931","https://www.youtube.com/watch?v=NgQ0-SY_E-o"
"Sorrow - From ""Gladiator"" Soundtrack","The Lyndhurst Orchestra","0.93",NULL
"Sorrow - From ""Gladiator"" Soundtrack","Lisa Gerrard","0.93","https://www.youtube.com/watch?v=uc1Or26VoB4"
"Sorrow - From ""Gladiator"" Soundtrack","Gavin Greenaway","0.93",NULL
"Suite No. 3 in D Major, BWV 1068: II. Air","Berliner Philharmoniker","0.929","https://www.youtube.com/watch?v=bvj25SpFUJ8"
"Suite No. 3 in D Major, BWV 1068: II. Air","Herbert von Karajan","0.929","https://www.youtube.com/watch?v=qHJRaqaHiEc"
"Nothing Else Matters - Jungle Cruise Version Part 1","James Newton Howard","0.929","https://www.youtube.com/watch?v=C6R45uw7BKU"
"S.T.A.Y.","Hans Zimmer","0.929",NULL
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 1 in G Minor. Allegro molto (Orch. Brahms)","Claudio Abbado","0.929","https://www.youtube.com/watch?v=6tqOMxaGgBU"
"watching the stars","Øneheart","0.929","https://www.youtube.com/watch?v=C42iSY6Y9g0"
"Suite No. 3 in D Major, BWV 1068: II. Air","Johann Sebastian Bach","0.929","https://www.youtube.com/watch?v=pzlw6fUux4o"
"Alberto Balsalm","Aphex Twin","0.928","https://www.youtube.com/watch?v=s4pQ5aj6vx8"
"Le Carnaval des Animaux, R. 125: 13. Le Cygne","Camille Saint-Saëns","0.928","https://www.youtube.com/watch?v=ONF_Bw9Ycp4"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers","Berliner Philharmoniker","0.928","https://www.youtube.com/watch?v=9LEZA9IQDDs"
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers","Sir Simon Rattle","0.928","https://www.youtube.com/watch?v=9LEZA9IQDDs"
